"id","group","expression","uid","gene_id","gene_name","alias","desc"
44726,"t20","up","106799532","MSTRG.15290","LOC106799532","GLYMA_08G151100","protein QUIRKY-like"
24133,"t20","up","100785655","MSTRG.8245","LOC100785655","GLYMA_05G043900","BTB/POZ and TAZ domain-containing protein 1"
86931,"t20","up",NA,"MSTRG.29454",".",NA,NA
71878,"t20","up","547756","MSTRG.24390","PEPC4","GLYMA_12G210600","phosphoenolpyruvate carboxylase"
8137,"t20","up","7157","MSTRG.2818","NIR","BCC7, BMFS5, LFS1, P53, TRP53","tumor protein p53"
40172,"t20","up","100775519","MSTRG.13569","LOC100775519","GLYMA_07G212800","ferredoxin--nitrite reductase, chloroplastic"
18233,"t20","up","100792511","MSTRG.6293","LOC100792511","GLYMA_04G040300","transferase family protein"
113868,"t20","up","100784766","MSTRG.38513","LOC100784766","GLYMA_20G030600","uncharacterized LOC100784766"
87312,"t20","up",NA,"MSTRG.29605",".",NA,NA
93744,"t20","up",NA,"MSTRG.31682",".",NA,NA
80182,"t20","up","547860","MSTRG.27219","LOX7","GLYMA_13G347800","lipoxygenase"
51753,"t20","up",NA,"MSTRG.17586",".",NA,NA
38515,"t20","up","100798036","MSTRG.13096","LOC100798036","GLYMA_07G134500","uncharacterized LOC100798036"
81050,"t20","up","100783376","MSTRG.27567","LOC100783376","GLYMA_14G016300","zinc finger CCCH domain-containing protein 29"
114662,"t20","up","547685","MSTRG.38679","NRP-A","GLYMA_20G066100, NRP","N-rich protein"
11556,"t20","up","100812481","MSTRG.3979","LOC100812481","GLYMA_02G296600","zinc finger CCCH domain-containing protein 29"
56839,"t20","up",NA,"MSTRG.19358",".",NA,NA
68101,"t20","up",NA,"MSTRG.23223",".",NA,NA
118619,"t20","up",NA,"MSTRG.40078",".",NA,NA
30266,"t20","up","100806690","MSTRG.10324","LOC100806690","GLYMA_06G072500","coiled-coil domain-containing protein 93"
116110,"t20","up","100818944","MSTRG.39176","LOC100818944","GLYMA_20G133100","BTB/POZ domain-containing protein NPY2"
67475,"t20","up","100305418","MSTRG.23006","LOC100305418","GLYMA_12G002400","cytokinin-regulated kinase"
83475,"t20","up",NA,"MSTRG.28364",".",NA,NA
65813,"t20","up","100798318","MSTRG.22481","LOC100798318","GLYMA_11G171400","asparagine synthetase [glutamine-hydrolyzing] 2"
22930,"t20","up","100793208","MSTRG.7766","LOC100793208","GLYMA_04G2543001, GmSHMT04n","serine hydroxymethyltransferase 7"
56767,"t20","up","100788062","MSTRG.19337","LOC100788062","GLYMA_10G079900","NDR1/HIN1-like protein 10"
72324,"t20","up","102660573","MSTRG.24566","LOC102660573","GLYMA_12G236500","probable disease resistance protein At1g61300"
86208,"t20","up","100781785","MSTRG.29194","LOC100781785","GLYMA_15G021800","LRR receptor-like serine/threonine-protein kinase IOS1"
14483,"t20","up","100801838","MSTRG.4857","TGA05","GLYMA_03G128200, GmTGA05","bZIP transcription factor 5"
102902,"t20","up","102664858","MSTRG.34907","LOC102664858","GLYMA_18G056400","senescence associated gene 20"
51819,"t20","up",NA,"MSTRG.17600",".",NA,NA
17125,"t20","up","547566","MSTRG.5853","LOC547566","GLYMA_03G253200","indole-3-acetic acid induced protein ARG-2 homolog"
118443,"t20","up",NA,"MSTRG.40025",".",NA,NA
86671,"t20","up",NA,"MSTRG.29368",".",NA,NA
41900,"t20","up","100818139","MSTRG.14207","LOC100818139","GLYMA_08G017900","heavy metal-associated isoprenylated plant protein 39"
31512,"t20","up","100777818","MSTRG.10798","LOC100777818","GLYMA_06G128700","calcineurin B-like protein 4"
54752,"t20","up","100805895","MSTRG.18642","LOC100805895","GLYMA_09G274000, WRKY","probable WRKY transcription factor 70-like"
74640,"t20","up",NA,"MSTRG.25203",".",NA,NA
79837,"t20","up",NA,"MSTRG.27106",".",NA,NA
10587,"t20","up","100796491","MSTRG.3596","LOC100796491","GLYMA_02G245700","probable calcium-binding protein CML18"
105553,"t20","up","100527644","MSTRG.35663","LOC100527644","GLYMA_18G191800","uncharacterized LOC100527644"
83181,"t20","up","100811514","MSTRG.28301","LOC100811514","GLYMA_14G111800","aspartate aminotransferase P2, mitochondrial"
1467,"t20","up",NA,"MSTRG.543",".",NA,NA
42777,"t20","up",NA,"MSTRG.14562",".",NA,NA
89259,"t20","up","100784098","MSTRG.30323","LOC100784098","GLYMA_15G171000","IQ domain-containing protein IQM1"
45543,"t20","up",NA,"MSTRG.15587",".",NA,NA
118033,"t20","up",NA,"MSTRG.39884",".",NA,NA
42491,"t20","up",NA,"MSTRG.14448",".",NA,NA
107997,"t20","up","100794600","MSTRG.36524","LOC100794600","GLYMA_19G011700","alpha-dioxygenase 1"
105195,"t20","up","100805188","MSTRG.35559","LOC100805188","GLYMA_18G172600","protein SULFUR DEFICIENCY-INDUCED 1"
61158,"t20","up",NA,"MSTRG.20741",".",NA,NA
46034,"t20","up","100795759","MSTRG.15770","LOC100795759","GLYMA_08G214600","topless-related protein 1"
80103,"t20","up","100814727","MSTRG.27192","LOC100814727","GLYMA_13G344700","B-box zinc finger protein"
59219,"t20","up","818395","MSTRG.20028","PHT1-1","AT2G38170, ATCAX1, F16M14.10, F16M14_10, HIGH AFFINITY CALCIUM ANTIPORTER CAX1, RARE COLD INDUCIBLE 4, RCI4, cation exchanger 1","cation exchanger 1"
41597,"t20","up",NA,"MSTRG.14095",".",NA,NA
64473,"t20","up",NA,"MSTRG.22062",".",NA,NA
79839,"t20","up",NA,"MSTRG.27106",".",NA,NA
30930,"t20","up",NA,"MSTRG.10569",".",NA,NA
41894,"t20","up",NA,"MSTRG.14204",".",NA,NA
113819,"t20","up",NA,"MSTRG.38502",".",NA,NA
83742,"t20","up",NA,"MSTRG.28421",".",NA,NA
29857,"t20","up","100305934","MSTRG.10166","LOC100305934","GLYMA_06G053300","uncharacterized LOC100305934"
116887,"t20","up","547866","MSTRG.39457","LOC547866","GLYMA_20G170300","choline kinase"
66957,"t20","up","100791093","MSTRG.22840","LOC100791093","GLYMA_11G239900","uncharacterized LOC100791093"
49841,"t20","up",NA,"MSTRG.16974",".",NA,NA
54215,"t20","up","100817267","MSTRG.18423","LOC100817267","GLYMA_09G246600","probably inactive leucine-rich repeat receptor-like protein kinase At5g48380"
73912,"t20","up","100782656","MSTRG.24941","LOC100782656","GLYMA_13G058400","membrane-anchored ubiquitin-fold protein 1"
72293,"t20","up","100777264","MSTRG.24558","LOC100777264","GLYMA_12G235100","protein SRG1-like"
32569,"t20","up","106799011","MSTRG.11183","LOC100809371","","callose synthase 10"
53215,"t20","up","100788917","MSTRG.18048","LOC100788917","GLYMA_09G197100","glutamate receptor 3.6"
71276,"t20","up","100811455","MSTRG.24159","LOC100811455","GLYMA_12G181100","GABA transporter 1"
4463,"t20","up","100801250","MSTRG.1486","LOC100801250","GLYMA_01G204600","glutamate dehydrogenase 2"
41274,"t20","up","100792931","MSTRG.13983","LOC100792931","GLYMA_07G266500","scarecrow-like protein 13-like"
60160,"t20","up","100306170","MSTRG.20365","LOC100306170","GLYMA_10G230600","heavy-metal-associated domain-containing protein"
75062,"t20","up","100799411","MSTRG.25331","LOC100799411","GLYMA_13G110700","serine/threonine-protein kinase RIPK"
52656,"t20","up",NA,"MSTRG.17836",".",NA,NA
38617,"t20","up","100810277","MSTRG.13132","LOC100810277","GLYMA_07G139400","non-specific lipid transfer protein GPI-anchored 5"
72058,"t20","up","100787229","MSTRG.24468","LOC100787229","GLYMA_12G222500","CBS domain-containing protein CBSX5"
65420,"t20","up","100527605","MSTRG.22383","LOC100527605","GLYMA_11G152000","uncharacterized LOC100527605"
86206,"t20","up",NA,"MSTRG.29194",".",NA,NA
98147,"t20","up",NA,"MSTRG.33275",".",NA,NA
67156,"t20","up",NA,"MSTRG.22913",".",NA,NA
80349,"t20","up","100801386","MSTRG.27289","LOC100801386","GLYMA_13G355000","ABC transporter G family member 36"
104811,"t20","up","100803062","MSTRG.35473","LOC100803062","GLYMA_18G153800","uncharacterized protein At5g65660"
30140,"t20","up","100810609","MSTRG.10280","LOC100810609","GLYMA_06G067200","adenine phosphoribosyltransferase 2-like"
74641,"t20","up","100784249","MSTRG.25203","LOC100784249","GLYMA_13G095100","probable xyloglucan endotransglucosylase/hydrolase protein 23"
98090,"t20","up","100796843","MSTRG.33250","LOC100796843","GLYMA_17G093900","two-component response regulator ARR5"
36004,"t20","up",NA,"MSTRG.12213",".",NA,NA
98003,"t20","up",NA,"MSTRG.33218",".",NA,NA
65938,"t20","up","100819818","MSTRG.22508","LOC100819818","GLYMA_11G178300","calmodulin-binding receptor-like cytoplasmic kinase 2"
19009,"t20","up","100787739","MSTRG.6573","LOC100787739","GLYMA_04G075800","uncharacterized LOC100787739"
86207,"t20","up",NA,"MSTRG.29194",".",NA,NA
10129,"t20","up",NA,"MSTRG.3407",".",NA,NA
37808,"t20","up","100779437","MSTRG.12875","LOC100779437","GLYMA_07G102400","protein C2-DOMAIN ABA-RELATED 4"
63918,"t20","up","100784908","MSTRG.21827","LOC100784908","GLYMA_11G109800","uncharacterized LOC100784908"
87009,"t20","up",NA,"MSTRG.29478",".",NA,NA
77186,"t20","up","106795504","MSTRG.26128","LOC106795504","GLYMA_13G208700","uncharacterized LOC106795504"
106443,"t20","up","100816232","MSTRG.35952","LOC100816232","GLYMA_18G236700","probable polygalacturonase"
91209,"t20","up","100790989","MSTRG.30788","LOC100790989","GLYMA_15G258100","LOB domain-containing protein 4-like"
11725,"t20","up",NA,"MSTRG.4046",".",NA,NA
69100,"t20","up",NA,"MSTRG.23574",".",NA,NA
34364,"t20","up",NA,"MSTRG.11665",".",NA,NA
116211,"t20","up",NA,"MSTRG.39210",".",NA,NA
21488,"t20","up",NA,"MSTRG.7254",".",NA,NA
80350,"t20","up","100801386","MSTRG.27289","LOC100801386","GLYMA_13G355000","ABC transporter G family member 36"
71946,"t20","up","100813627","MSTRG.24422","LOC100813627","GLYMA_12G215000","thioredoxin-like protein CXXS1-like"
17840,"t20","up","100306554","MSTRG.6121","LOC100306554","GLYMA_04G020300","plastocyanin"
27012,"t20","up","100815756","MSTRG.9108","LOC100815756","GLYMA_05G169100","11S globulin seed storage protein 1"
107352,"t20","up",NA,"MSTRG.36304",".",NA,NA
102034,"t20","up",NA,"MSTRG.34572",".",NA,NA
113983,"t20","up",NA,"MSTRG.38542",".",NA,NA
7076,"t20","up",NA,"MSTRG.2466",".",NA,NA
714,"t20","up","100790504","MSTRG.300","LOC100790504","GLYMA_01G023600","kinesin-like protein KIN-14B"
5944,"t20","up","100784166","MSTRG.2064","LOC100784166","GLYMA_02G029200","protein JINGUBANG"
43444,"t20","up","100793120","MSTRG.14806","LOC100793120","GLYMA_08G093200","type IV inositol polyphosphate 5-phosphatase 9"
29497,"t20","up",NA,"MSTRG.10029",".",NA,NA
43914,"t20","up",NA,"MSTRG.14987",".",NA,NA
116216,"t20","up","100782266","MSTRG.39210","CRK70","GLYMA_20G137900, GmCRK70","cysteine-rich receptor-like protein kinase"
82345,"t20","up",NA,"MSTRG.28016",".",NA,NA
61275,"t20","up","100805180","MSTRG.20791","LOC100805180","GLYMA_10G284400","serine/threonine-protein kinase STY46"
4273,"t20","up","21898","MSTRG.1405","SCA1","Lps, Ly87, Ran/M1, Rasl2-8","toll-like receptor 4"
37727,"t20","up","100812612","MSTRG.12838","LOC100812612","GLYMA_07G098500","heavy metal-associated isoprenylated plant protein 47"
59580,"t20","up","100797211","MSTRG.20152","LOC100797211","GLYMA_10G204100","lysine histidine transporter-like 6"
89763,"t20","up",NA,"MSTRG.30444",".",NA,NA
93940,"t20","up","100812261","MSTRG.31731","LOC100812261","GLYMA_16G111700","glutamate receptor 3.6"
96360,"t20","up","100799838","MSTRG.32547","LOC100799838","GLYMA_17G011600","S-type anion channel SLAH4"
40170,"t20","up",NA,"MSTRG.13569",".",NA,NA
30339,"t20","up","100815770","MSTRG.10347","LOC100815770","GLYMA_06G075500","ubiquitin carboxyl-terminal hydrolase 26"
2694,"t20","up",NA,"MSTRG.845",".",NA,NA
101097,"t20","up","100815312","MSTRG.34209","LOC100815312","GLYMA_17G230600","probable protein phosphatase 2C 72"
61410,"t20","up","100776335","MSTRG.20856","LOC100776335","GLYMA_10G291400","caffeoylshikimate esterase"
116036,"t20","up","100306181","MSTRG.39148","LOC100306181","GLYMA_20G129900","BSP domain-containing protien"
34327,"t20","up","100499653","MSTRG.11656","LOC100499653","GLYMA_06G259800","TIR-NBS-LRR type disease resistance protein"
118761,"t20","up","113001185","MSTRG.40109","LOC100785433","","TMV resistance protein N-like"
56274,"t20","up","102662356","MSTRG.19175","LOC102662356","GLYMA_10G052800","uncharacterized LOC102662356"
88929,"t20","up",NA,"MSTRG.30236",".",NA,NA
9570,"t20","up","100809258","MSTRG.3213","LOC100809258","GLYMA_02G195400","syntaxin-121"
37502,"t20","up","100783382","MSTRG.12751","LOC100783382","GLYMA_07G086500","kinesin-like protein KIN-13B"
102122,"t20","up","100807677","MSTRG.34607","LOC100807677","GLYMA_18G017500","uncharacterized LOC100807677"
108140,"t20","up",NA,"MSTRG.36581",".",NA,NA
92958,"t20","up",NA,"MSTRG.31488",".",NA,NA
102170,"t20","up","100792830","MSTRG.34636","LOC100792830","GLYMA_18G020600","uncharacterized LOC100792830"
67887,"t20","up",NA,"MSTRG.23159",".",NA,NA
80763,"t20","up",NA,"MSTRG.27452",".",NA,NA
10939,"t20","up","100793498","MSTRG.3731","LOC100793498","GLYMA_02G264200","U-box domain-containing protein 1"
57844,"t20","up","100780762","MSTRG.19559","LOC100780762","GLYMA_10G124300","uncharacterized LOC100780762"
78091,"t20","up","100500210","MSTRG.26450","LOC100500210","GLYMA_13G250700","uncharacterized LOC100500210"
97485,"t20","up","100800017","MSTRG.33021","LOC100800017","GLYMA_17G064900","probable xyloglucan endotransglucosylase/hydrolase protein 23-like"
455,"t20","up","106794537","MSTRG.209","LOC100809077","","uncharacterized LOC106794537"
49440,"t20","up","547630","MSTRG.16830","LOC547630","GLYMA_09G004400","adenosine 5'-phosphosulfate reductase"
77450,"t20","up","100787772","MSTRG.26220","LOC100787772","GLYMA_13G219900","transcription factor TCP2"
4807,"t20","up",NA,"MSTRG.1609",".",NA,NA
39703,"t20","up","100810449","MSTRG.13397","LOC100810449","GLYMA_07G190100","F-box protein At1g61340"
82758,"t20","up",NA,"MSTRG.28183",".",NA,NA
85506,"t20","up","100789223","MSTRG.28953","LOC100789223","GLYMA_14G217900","filament-like plant protein 4"
74126,"t20","up","100809557","MSTRG.25028","LOC100809557","GLYMA_13G069800","senescence-associated carboxylesterase 101"
39851,"t20","up",NA,"MSTRG.13444",".",NA,NA
44885,"t20","up",NA,"MSTRG.15345",".",NA,NA
96030,"t20","up",NA,"MSTRG.32423",".",NA,NA
68677,"t20","up",NA,"MSTRG.23432",".",NA,NA
35359,"t20","up","100820578","MSTRG.11995","LOC100820578","GLYMA_06G316600","E3 ubiquitin protein ligase RIN2"
44725,"t20","up","100810127","MSTRG.15289","LOC100810127","GLYMA_08G150800","uroporphyrinogen-III C-methyltransferase"
68338,"t20","up","100808791","MSTRG.23308","LOC100808791","GLYMA_12G042400","glucose-1-phosphate adenylyltransferase large subunit 1"
101865,"t20","up","100527578","MSTRG.34502","LOC100527578","GLYMA_18G005000","uncharacterized LOC100527578"
117262,"t20","up",NA,"MSTRG.39593",".",NA,NA
49217,"t20","up","100809943","MSTRG.16759","LOC100809943","GLYMA_08G364000","T-complex protein 1 subunit zeta 1"
91040,"t20","up","112999626","MSTRG.30735","LOC112999626","GLYMA_15G249800","VQ motif-containing protein 1"
22553,"t20","up",NA,"MSTRG.7619",".",NA,NA
65633,"t20","up","102660194","MSTRG.22443","LOC102660194","GLYMA_11G163100","senescence associated gene 20"
78199,"t20","up",NA,"MSTRG.26504",".",NA,NA
66576,"t20","up",NA,"MSTRG.22686",".",NA,NA
23950,"t20","up","100804903","MSTRG.8179","LOC100804903","GLYMA_05G035000","nucleobase-ascorbate transporter 6"
62738,"t20","up",NA,"MSTRG.21341",".",NA,NA
88166,"t20","up","100818119","MSTRG.29940","LOC100818119","GLYMA_15G115600","cytochrome b561 and DOMON domain-containing protein At5g47530"
118041,"t20","up","100807570","MSTRG.39887","LOC100807570","GLYMA_20G224700","transcription factor UNE12"
87743,"t20","up","100806032","MSTRG.29755","LOC100806032","GLYMA_15G092500","transcription factor TCP2"
98249,"t20","up",NA,"MSTRG.33303",".",NA,NA
20250,"t20","up",NA,"MSTRG.6935",".",NA,NA
30619,"t20","up",NA,"MSTRG.10447",".",NA,NA
40925,"t20","up","100788877","MSTRG.13845","LOC100788877","GLYMA_07G249900","uncharacterized LOC100788877"
5706,"t20","up","100784859","MSTRG.1977","LOC100784859","","uncharacterized LOC100784859"
107081,"t20","up","100812131","MSTRG.36201","LOC100812131","GLYMA_18G271500","receptor-like protein kinase ANXUR2"
90560,"t20","up",NA,"MSTRG.30621",".",NA,NA
70964,"t20","up","100305781","MSTRG.24069","GLYI-17","GLYMA_12G167400, GmGLYI-17","putative lactoylglutathione lyase"
19057,"t20","up","100795131","MSTRG.6593","LOC100795131","GLYMA_04G078100","uncharacterized LOC100795131"
106884,"t20","up","100791253","MSTRG.36123","LOC100791253","GLYMA_18G260700","probable calcium-binding protein CML46"
74643,"t20","up","100782104","MSTRG.25204","LOC100782104","GLYMA_13G095200","probable xyloglucan endotransglucosylase/hydrolase protein 23"
73911,"t20","up","100782656","MSTRG.24941","LOC100782656","GLYMA_13G058400","membrane-anchored ubiquitin-fold protein 1"
86099,"t20","up","100792940","MSTRG.29163","LOC100792940","GLYMA_15G017000","protein NRT1/ PTR FAMILY 1.2"
78147,"t20","up","100798018","MSTRG.26481","LOC100798018","GLYMA_13G253500","transcription factor bHLH25"
36900,"t20","up","100813492","MSTRG.12541","LOC100813492","GLYMA_07G057900","jasmonoyl--L-amino acid synthetase JAR4"
11828,"t20","up",NA,"MSTRG.4086",".",NA,NA
27922,"t20","up",NA,"MSTRG.9427",".",NA,NA
11156,"t20","up","100794566","MSTRG.3822","LOC100794566","GLYMA_02G275900","protein kinase superfamily protein"
20932,"t20","up","102662018","MSTRG.7086","LOC102662018","GLYMA_04G164300","dr1-associated corepressor homolog"
14695,"t20","up","831207","MSTRG.4933","CHLH","AT5G13630, ABA-BINDING PROTEIN, ABAR, CCH, CCH1, CHLH, CONDITIONAL CHLORINA, GENOMES UNCOUPLED 5, H SUBUNIT OF MG-CHELATASE, T6I14.12","magnesium-chelatase subunit chlH, chloroplast, putative / Mg-protoporphyrin IX chelatase, putative (CHLH)"
73849,"t20","up","100500597","MSTRG.24910","LOC100500597","GLYMA_13G054700","uncharacterized LOC100500597"
52739,"t20","up",NA,"MSTRG.17859",".",NA,NA
32085,"t20","up",NA,"MSTRG.11007",".",NA,NA
10230,"t20","up",NA,"MSTRG.3451",".",NA,NA
97340,"t20","up",NA,"MSTRG.32969",".",NA,NA
57638,"t20","up","100783626","MSTRG.19519","LOC100783626","GLYMA_10G116600","AP2-like ethylene-responsive transcription factor TOE3"
59680,"t20","up",NA,"MSTRG.20186",".",NA,NA
24741,"t20","up","100807214","MSTRG.8434","LOC100807214","GLYMA_05G070400","type I inositol polyphosphate 5-phosphatase 2"
3627,"t20","up",NA,"MSTRG.1132",".",NA,NA
62316,"t20","up",NA,"MSTRG.21183",".",NA,NA
3963,"t20","up","100814253","MSTRG.1277","LOC100814253","GLYMA_01G178500","calcium uniporter protein 2, mitochondrial"
91821,"t20","up",NA,"MSTRG.31026",".",NA,NA
6900,"t20","up","100736527","MSTRG.2405","PIP2-9","SlPIP2-9","aquaporin PIP2-9"
63374,"t20","up","100777578","MSTRG.21610","LOC100777578","GLYMA_11G085300","probable serine/threonine-protein kinase PIX13"
57410,"t20","up","547729","MSTRG.19467","LOC547729","GLYMA_10G106600, BGL","beta-glucosidase BoGH3B"
53437,"t20","up","100813901","MSTRG.18139","LOC100813901","GLYMA_09G208200","cellulose synthase-like protein D3"
101128,"t20","up",NA,"MSTRG.34221",".",NA,NA
38244,"t20","up","100809749","MSTRG.12991","LOC100809749","GLYMA_07G121900","putative ABC transporter C family member 15"
79956,"t20","up","100791492","MSTRG.27140","LOC100791492","GLYMA_13G338300","zinc transporter 1"
118690,"t20","up","100500484","MSTRG.40098","LOC100500484","GLYMA_03G045600","dirigent-like protein"
115715,"t20","up",NA,"MSTRG.39039",".",NA,NA
67216,"t20","up",NA,"MSTRG.22929",".",NA,NA
82756,"t20","up","100776062","MSTRG.28183","LOC100776062","","probable protein phosphatase 2C 1"
365,"t20","up",NA,"MSTRG.155",".",NA,NA
117749,"t20","up",NA,"MSTRG.39768",".",NA,NA
55394,"t20","up","100306535","MSTRG.18857","LOC100306535","GLYMA_10G013700","uncharacterized LOC100306535"
8523,"t20","up",NA,"MSTRG.2956",".",NA,NA
33862,"t20","up","100779961","MSTRG.11548","HGO2","GLYMA_06G234200, GmHGO2","homogentisate 1,2-dioxygenase"
67081,"t20","up","100815718","MSTRG.22883","LOC100815718","GLYMA_11G245000","ultraviolet-B receptor UVR8"
16037,"t20","up","100797418","MSTRG.5426","LOC100797418","GLYMA_03G202300","BEL1-like homeodomain protein 1"
5200,"t20","up",NA,"MSTRG.1757",".",NA,NA
37202,"t20","up","100800861","MSTRG.12648","LOC100800861","GLYMA_07G072700","DEAD-box ATP-dependent RNA helicase 8"
84190,"t20","up","100793275","MSTRG.28526","LOC100793275","GLYMA_14G118200","F-box protein SKP2B-like"
37535,"t20","up","100779097","MSTRG.12767","LOC100779097","","probable sulfate transporter 3.5"
22229,"t20","up",NA,"MSTRG.7496",".",NA,NA
116220,"t20","up","100782800","MSTRG.39211","CRK71","GLYMA_20G138100, GmCRK71","cysteine-rich receptor-like protein kinase"
525,"t20","up","100800707","MSTRG.229","LOC100800707","GLYMA_01G015000","inactive poly [ADP-ribose] polymerase RCD1"
74481,"t20","up","100784422","MSTRG.25145","LOC100784422","GLYMA_13G087800","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase 1"
96832,"t20","up","100500640","MSTRG.32768","LOC100500640","GLYMA_17G036400, GmC/VIF2","cell wall / vacuolar inhibitor of fructosidase"
96341,"t20","up",NA,"MSTRG.32539",".",NA,NA
62699,"t20","up","100802764","MSTRG.21326","LOC100802764","GLYMA_11G049300","LOB domain-containing protein 38"
96530,"t20","up","100787515","MSTRG.32637","LOC100787515","GLYMA_17G021100","uncharacterized protein At4g15545"
23215,"t20","up","100783889","MSTRG.7906","LOC100783889","GLYMA_05G001500","uncharacterized LOC100783889"
55470,"t20","up","100792839","MSTRG.18892","LOC100792839","GLYMA_10G018000","magnesium/proton exchanger"
87354,"t20","up","100780697","MSTRG.29620","LOC100780697","GLYMA_15G072400","stem-specific protein TSJT1-like"
27154,"t20","up","100793416","MSTRG.9171","LOC100793416","GLYMA_05G177500","probable LRR receptor-like serine/threonine-protein kinase At5g10290"
23847,"t20","up","851752","MSTRG.8138","HIR3","YDR172W, GST1, PNM2, SAL3, SUF12, SUP2, SUP36","translation termination factor GTPase eRF3"
80538,"t20","up","100784964","MSTRG.27365","LOC100784964","GLYMA_13G365000","uncharacterized LOC100784964"
11662,"t20","up",NA,"MSTRG.4028",".",NA,NA
37837,"t20","up",NA,"MSTRG.12885",".",NA,NA
38376,"t20","up","100796620","MSTRG.13040","LOC100796620","GLYMA_07G127800","uncharacterized LOC100796620"
92190,"t20","up","112999843","MSTRG.31181","LOC112999843","","small nucleolar RNA snoR145"
93783,"t20","up",NA,"MSTRG.31689",".",NA,NA
115226,"t20","up","100798343","MSTRG.38838","LOC100798343","GLYMA_20G092900","putative nuclear envelope-associated protein"
77107,"t20","up","100795896","MSTRG.26093","LOC100795896","GLYMA_13G204400","transcription factor bHLH130"
29414,"t20","up",NA,"MSTRG.10000",".",NA,NA
49928,"t20","up","100786800","MSTRG.17011","LOC100786800","GLYMA_09G026900","berberine bridge enzyme-like 13"
92955,"t20","up",NA,"MSTRG.31488",".",NA,NA
61902,"t20","up",NA,"MSTRG.21023",".",NA,NA
34496,"t20","up","100787267","MSTRG.11691","LOC100787267","GLYMA_06G265700","dihydroflavonol-4-reductase-like"
65326,"t20","up","818294","MSTRG.22343","PIP2-3","AT2G37180, PIP2;3, PIP2C, PLASMA MEMBRANE INTRINSIC PROTEIN 2;3, PLASMA MEMBRANE INTRINSIC PROTEIN 2C, RESPONSIVE TO DESICCATION 28, T2N18.6, T2N18_6","Aquaporin-like superfamily protein"
70638,"t20","up","100796730","MSTRG.23998","LOC100796730","GLYMA_12G157700","polynucleotide 3'-phosphatase ZDP"
74644,"t20","up","100778340","MSTRG.25205","LOC100778340","GLYMA_13G095300","probable xyloglucan endotransglucosylase/hydrolase protein 23"
41192,"t20","up","100779095","MSTRG.13945","LOC100779095","GLYMA_07G262500","S-type anion channel SLAH4"
84235,"t20","up",NA,"MSTRG.28539",".",NA,NA
