"uid","gene_name","alias","desc"
"100792940","LOC100792940","GLYMA_15G017000","protein NRT1/ PTR FAMILY 1.2"
"100798018","LOC100798018","GLYMA_13G253500","transcription factor bHLH25"
"100813492","LOC100813492","GLYMA_07G057900","jasmonoyl--L-amino acid synthetase JAR4"
NA,".",NA,NA
NA,".",NA,NA
"100794566","LOC100794566","GLYMA_02G275900","protein kinase superfamily protein"
"102662018","LOC102662018","GLYMA_04G164300","dr1-associated corepressor homolog"
"831207","CHLH","AT5G13630, ABA-BINDING PROTEIN, ABAR, CCH, CCH1, CHLH, CONDITIONAL CHLORINA, GENOMES UNCOUPLED 5, H SUBUNIT OF MG-CHELATASE, T6I14.12","magnesium-chelatase subunit chlH, chloroplast, putative / Mg-protoporphyrin IX chelatase, putative (CHLH)"
"100500597","LOC100500597","GLYMA_13G054700","uncharacterized LOC100500597"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"100783626","LOC100783626","GLYMA_10G116600","AP2-like ethylene-responsive transcription factor TOE3"
NA,".",NA,NA
"100807214","LOC100807214","GLYMA_05G070400","type I inositol polyphosphate 5-phosphatase 2"
NA,".",NA,NA
NA,".",NA,NA
"100814253","LOC100814253","GLYMA_01G178500","calcium uniporter protein 2, mitochondrial"
NA,".",NA,NA
"100736527","PIP2-9","SlPIP2-9","aquaporin PIP2-9"
"100777578","LOC100777578","GLYMA_11G085300","probable serine/threonine-protein kinase PIX13"
"547729","LOC547729","GLYMA_10G106600, BGL","beta-glucosidase BoGH3B"
"100813901","LOC100813901","GLYMA_09G208200","cellulose synthase-like protein D3"
NA,".",NA,NA
"100809749","LOC100809749","GLYMA_07G121900","putative ABC transporter C family member 15"
"100791492","LOC100791492","GLYMA_13G338300","zinc transporter 1"
"100500484","LOC100500484","GLYMA_03G045600","dirigent-like protein"
NA,".",NA,NA
NA,".",NA,NA
"100776062","LOC100776062","","probable protein phosphatase 2C 1"
NA,".",NA,NA
NA,".",NA,NA
"100306535","LOC100306535","GLYMA_10G013700","uncharacterized LOC100306535"
NA,".",NA,NA
"100779961","HGO2","GLYMA_06G234200, GmHGO2","homogentisate 1,2-dioxygenase"
"100815718","LOC100815718","GLYMA_11G245000","ultraviolet-B receptor UVR8"
"100797418","LOC100797418","GLYMA_03G202300","BEL1-like homeodomain protein 1"
NA,".",NA,NA
"100800861","LOC100800861","GLYMA_07G072700","DEAD-box ATP-dependent RNA helicase 8"
"100793275","LOC100793275","GLYMA_14G118200","F-box protein SKP2B-like"
"100779097","LOC100779097","","probable sulfate transporter 3.5"
NA,".",NA,NA
"100782800","CRK71","GLYMA_20G138100, GmCRK71","cysteine-rich receptor-like protein kinase"
"100800707","LOC100800707","GLYMA_01G015000","inactive poly [ADP-ribose] polymerase RCD1"
"100784422","LOC100784422","GLYMA_13G087800","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase 1"
"100500640","LOC100500640","GLYMA_17G036400, GmC/VIF2","cell wall / vacuolar inhibitor of fructosidase"
NA,".",NA,NA
"100802764","LOC100802764","GLYMA_11G049300","LOB domain-containing protein 38"
"100787515","LOC100787515","GLYMA_17G021100","uncharacterized protein At4g15545"
"100783889","LOC100783889","GLYMA_05G001500","uncharacterized LOC100783889"
"100792839","LOC100792839","GLYMA_10G018000","magnesium/proton exchanger"
"100780697","LOC100780697","GLYMA_15G072400","stem-specific protein TSJT1-like"
"100793416","LOC100793416","GLYMA_05G177500","probable LRR receptor-like serine/threonine-protein kinase At5g10290"
"851752","HIR3","YDR172W, GST1, PNM2, SAL3, SUF12, SUP2, SUP36","translation termination factor GTPase eRF3"
"100784964","LOC100784964","GLYMA_13G365000","uncharacterized LOC100784964"
NA,".",NA,NA
NA,".",NA,NA
"100796620","LOC100796620","GLYMA_07G127800","uncharacterized LOC100796620"
"112999843","LOC112999843","","small nucleolar RNA snoR145"
NA,".",NA,NA
"100798343","LOC100798343","GLYMA_20G092900","putative nuclear envelope-associated protein"
"100795896","LOC100795896","GLYMA_13G204400","transcription factor bHLH130"
NA,".",NA,NA
"100786800","LOC100786800","GLYMA_09G026900","berberine bridge enzyme-like 13"
NA,".",NA,NA
NA,".",NA,NA
"100787267","LOC100787267","GLYMA_06G265700","dihydroflavonol-4-reductase-like"
"818294","PIP2-3","AT2G37180, PIP2;3, PIP2C, PLASMA MEMBRANE INTRINSIC PROTEIN 2;3, PLASMA MEMBRANE INTRINSIC PROTEIN 2C, RESPONSIVE TO DESICCATION 28, T2N18.6, T2N18_6","Aquaporin-like superfamily protein"
"100796730","LOC100796730","GLYMA_12G157700","polynucleotide 3'-phosphatase ZDP"
"100778340","LOC100778340","GLYMA_13G095300","probable xyloglucan endotransglucosylase/hydrolase protein 23"
"100779095","LOC100779095","GLYMA_07G262500","S-type anion channel SLAH4"
NA,".",NA,NA
"100306006","LOC100306006","GLYMA_15G256300","uncharacterized LOC100306006"
"100797572","LOC100797572","GLYMA_02G055500","U-box domain-containing protein 5"
NA,".",NA,NA
"100805946","LOC100805946","GLYMA_11G194900","cell division cycle protein 48 homolog"
NA,".",NA,NA
"100784422","LOC100784422","GLYMA_13G087800","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase 1"
NA,".",NA,NA
"100794206","LOC100794206","GLYMA_17G234000","protein SOB FIVE-LIKE 5"
"100815501","LOC100815501","GLYMA_09G209400","diacylglycerol lipase-beta"
NA,".",NA,NA
"100811537","LOC100811537","GLYMA_15G200600","probable flavin-containing monooxygenase 1"
"100799947","LOC100799947","GLYMA_06G310700","WAT1-related protein At5g07050"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"100778270","LOC100778270","GLYMA_18G300800","leucine-rich repeat extensin-like protein 6"
"100799248","LOC100799248","GLYMA_06G289300","transcription activator GLK1-like"
NA,".",NA,NA
"100776827","LOC100776827","GLYMA_09G256100","probable polygalacturonase"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"100781974","LOC100781974","GLYMA_16G017200","soluble inorganic pyrophosphatase 1"
"100803643","LOC100803643","GLYMA_04G055700","F-box/LRR-repeat protein 15"
"100779180","LOC100779180","GLYMA_11G069600","laccase-11"
NA,".",NA,NA
NA,".",NA,NA
"100800156","LOC100800156","GLYMA_08G297100","uncharacterized LOC100800156"
NA,".",NA,NA
NA,".",NA,NA
"547835","LOC547835","GLYMA_07G007000, LOX1.4, SC514, loxA","lipoxygenase"
"102661371","LOC102661371","GLYMA_18G209900v4","protein LURP-one-related 15-like"
"100799752","LOC100799752","GLYMA_05G094400","mitogen-activated protein kinase kinase kinase 20"
NA,".",NA,NA
"100527615","LOC100527615","GLYMA_11G222300","tropinone reductase homolog At5g06060"
