"","gene_name","glyma","desc"
"41","rpoC1","ZemaCp014","RNA polymerase beta' subunit"
"42","rpoC1","ZemaCp014","RNA polymerase beta' subunit"
"43","rpoC2","Cf-8, Cf8, FVIII","coagulation factor VIII"
"44","rps2","BCC7, BMFS5, LFS1, P53, TRP53","tumor protein p53"
"45","atpI","ATPI, ATPIF1, ATPIP, IP","ATP synthase inhibitory factor subunit 1"
"46","atpH","b0470, ECK0464, dnaZ","DNA polymerase III subunit gamma;DNA polymerase III subunit tau"
"47","atpF","b3736, ECK3729, papF, uncF","ATP synthase Fo complex subunit b"
"48","atpA","2700033K02Rik, 9430015G03Rik, ARP-1, Aporp1, COUP-TF2, COUP-TFII, COUPTFB, EAR3, SVP40, Tcfcoup2","nuclear receptor subfamily 2, group F, member 2"
"49","trnR-UCU","ICG91_pgr004","16S ribosomal RNA"
"50","trnG-UCC","ZEAMMB73_Zm00001d052240, GRMZM2G025409, ZmPPR5, ppr5","pentatricopeptide repeat 5"
"51",".",NA,NA
"52","trnS-GCU","ICG91_pgr006","4.5S ribosomal RNA"
"53","psbI","ZemaCp006","photosystem II protein I"
"54","psbK","ZemaCp005","photosystem II protein K"
"55","trnQ-UUG","ICG91_pgr007","5S ribosomal RNA"
"56","rps16","BCC7, BMFS5, LFS1, P53, TRP53","tumor protein p53"
"57","rps16","BCC7, BMFS5, LFS1, P53, TRP53","tumor protein p53"
"58","accD","b1183, ECK1171","DNA polymerase V protein UmuD"
"59","psaI","ZemaCp033","photosystem I subunit VIII"
"60","cemA","DC-SIGN","CD209 molecule"
"61","petA","EBS7, GP27, MER2, PETA-3, RAPH, SFA1, TSPAN24","CD151 molecule (Raph blood group)"
"62","psbJ","AT1G79040, PSII-R, YUP8H12R.34, YUP8H12R_34, photosystem II subunit R","photosystem II subunit R"
"63","psbL","ZemaCp038","photosystem II protein L"
"64","psbF","AT4G18370, DEGP PROTEASE 5, DEGP protease 5, DEGP5, F28J12.30, F28J12_30, HHOA, PROTEASE HHOA PRECUSOR, degradation of periplasmic proteins 5","DEGP protease 5"
"65","psbE","AT4G10340, CHLOROPHYLL PROTEIN 26, CP 26, CP26, F24G24.140, F24G24_140, light harvesting complex of photosystem II 5","light harvesting complex of photosystem II 5"
"66","petL","AT4G31850, F11C18.50, F11C18_50, proton gradient regulation 3","proton gradient regulation 3"
"67","petG","ZemaCp042","cytochrome b6/f complex subunit V"
"68","trnW-CCA","LCE14_pgp035","tRNA-Trp"
"69","trnP-UGG","C2H56_pgp39, BuchCt015","pseudo"
"70","psaJ","ZemaCp043","photosystem I subunit IX"
"71","rpl33","ZemaCp044","ribosomal protein L33"
"72","rps18","BCC7, BMFS5, LFS1, P53, TRP53","tumor protein p53"
"73","rpl20","ZemaCp046","ribosomal protein L20"
"74","rps12","ERBB, ERBB1, ERRP, HER1, NISBD2, PIG61, mENA","epidermal growth factor receptor"
"75","rps12","ERBB, ERBB1, ERRP, HER1, NISBD2, PIG61, mENA","epidermal growth factor receptor"
"76","clpP","BCC7, BMFS5, LFS1, P53, TRP53","tumor protein p53"
"77","psbB","AT4G10340, CHLOROPHYLL PROTEIN 26, CP 26, CP26, F24G24.140, F24G24_140, light harvesting complex of photosystem II 5","light harvesting complex of photosystem II 5"
"78","psbT","AT3G17040, high chlorophyll fluorescent 107","high chlorophyll fluorescent 107"
"79","psbN","AT3G53920, RNA POLYMERASE SIGMA-SUBUNIT, RNApolymerase sigma-subunit C, SIG3, SIGMA FACTOR 3","RNApolymerase sigma-subunit C"
"80","psbH","ArthCp002","photosystem II protein D1"
"81","petB","FCNH, HAKA1","ficolin 3"
"82","petD","Q0120","intron-encoded RNA maturase bI4"
"83","rpoA","Gnrh, Gnrh2, LHRH, Lhrh1, Lnrh, hpg","gonadotropin releasing hormone 1"
"84","rps11","ERBB, ERBB1, ERRP, HER1, NISBD2, PIG61, mENA","epidermal growth factor receptor"
"85","rpl36","ERBB, ERBB1, ERRP, HER1, NISBD2, PIG61, mENA","epidermal growth factor receptor"
"86","rps8","BCC7, BMFS5, LFS1, P53, TRP53","tumor protein p53"
"87","rpl14","BCC7, BMFS5, LFS1, P53, TRP53","tumor protein p53"
"88","rpl16","AT4G29040, 26S PROTEASOME AAA-ATPASE SUBUNIT RPT2A, F19B15.70, F19B15_70, regulatory particle AAA-ATPase 2A","regulatory particle AAA-ATPase 2A"
"89","rps3","BCC7, BMFS5, LFS1, P53, TRP53","tumor protein p53"
"90","rps19","BCC7, BMFS5, LFS1, P53, TRP53","tumor protein p53"
"91","rpl2","b3295, ECK3282, pez, phs, sez","RNA polymerase subunit alpha"
"92","rpl23","BCC7, BMFS5, LFS1, P53, TRP53","tumor protein p53"
"93","trnI-CAU","GU08_p41",""
"94","ycf2","AT3G47520, MALATE DEHYDROGENASE, malate dehydrogenase, pNAD-MDH, plastidic NAD-dependent malate dehydrogenase","malate dehydrogenase"
"95","trnL-CAA","B7L87_pgp017, SchjasCt021","pseudo"
"96","ndhB","AT5G11270, F2I11.160, F2I11_160, overexpressor of cationic peroxidase 3","overexpressor of cationic peroxidase 3"
"97","rps7","BCC7, BMFS5, LFS1, P53, TRP53","tumor protein p53"
"98","rps12","ERBB, ERBB1, ERRP, HER1, NISBD2, PIG61, mENA","epidermal growth factor receptor"
"99","trnV-GAC","CSD31_pgp006, Co_phy1Pt1539","pseudo"
"100","rrn16","O3545_pgr001","16S ribosomal RNA"
"101","trnI-GAU","LK375_pgp007","pseudo"
"102","trnA-UGC","LK375_pgp008","pseudo"
"103","rrn23","O3545_pgr002","23S ribosomal RNA"
"104","rrn4.5","O3545_pgr003","4.5S ribosomal RNA"
"105","rrn5","YBR160W, CDK1, HSL5, SRM5","cyclin-dependent serine/threonine-protein kinase CDC28"
"106","trnR-ACG","CGU49_pgp007, Do_cus1Pt1158","pseudo"
"107","trnN-GUU","OYU71_pgt002","tRNA-Asn"
"108","ycf1","YBR160W, CDK1, HSL5, SRM5","cyclin-dependent serine/threonine-protein kinase CDC28"
"109","rps15","BCC7, BMFS5, LFS1, P53, TRP53","tumor protein p53"
"110","ndhH","AT5G03240, F15A17.270, F15A17_270, POLYUBIQUITIN 3 PROTEIN, polyubiquitin 3","polyubiquitin 3"
"111","ndhA","AT4G31850, F11C18.50, F11C18_50, proton gradient regulation 3","proton gradient regulation 3"
"112","ndhI","ZemaCp090, frxB","NADH dehydrogenase subunit I"
"113","ndhG","AT4G31850, F11C18.50, F11C18_50, proton gradient regulation 3","proton gradient regulation 3"
"114","ndhE","ZemaCp088, ndh4L","NADH dehydrogenase subunit 4L"
"115","psaC","AT1G61520, LHCA3*1, LHCI-680, T25B24.12, T25B24_12, photosystem I light harvesting complex gene 3","PSI type III chlorophyll a/b-binding protein"
"116","ndhD","ZemaCp086, ndh4","NADH dehydrogenase subunit 4"
"117","ccsA","ZemaCp085, ycf5","cytochrome c biogenesis protein"
"118","trnL-UAG","OYU71_pgt001","tRNA-Leu"
"119","rpl32","ERBB, ERBB1, ERRP, HER1, NISBD2, PIG61, mENA","epidermal growth factor receptor"
"120",".",NA,NA
"121","ndhF","ZemaCp083, ndh5","NADH dehydrogenase subunit 5"
"122","ycf1","YBR160W, CDK1, HSL5, SRM5","cyclin-dependent serine/threonine-protein kinase CDC28"
"123","trnN-GUU","OYU71_pgt002","tRNA-Asn"
"124","trnR-ACG","CGU49_pgp007, Do_cus1Pt1158","pseudo"
"125","rrn5","YBR160W, CDK1, HSL5, SRM5","cyclin-dependent serine/threonine-protein kinase CDC28"
"126","rrn4.5","O3545_pgr003","4.5S ribosomal RNA"
"127","rrn23","O3545_pgr002","23S ribosomal RNA"
"128","trnA-UGC","LK375_pgp008","pseudo"
"129","trnI-UAG","J6770_pgt034","tRNA-Ile"
"130","rrn16","O3545_pgr001","16S ribosomal RNA"
"131","trnV-GAC","CSD31_pgp006, Co_phy1Pt1539","pseudo"
"132","rps12","ERBB, ERBB1, ERRP, HER1, NISBD2, PIG61, mENA","epidermal growth factor receptor"
"133","rps7","BCC7, BMFS5, LFS1, P53, TRP53","tumor protein p53"
"134","ndhB","AT5G11270, F2I11.160, F2I11_160, overexpressor of cationic peroxidase 3","overexpressor of cationic peroxidase 3"
"135","trnL-CAA","B7L87_pgp017, SchjasCt021","pseudo"
"136","ycf2","AT3G47520, MALATE DEHYDROGENASE, malate dehydrogenase, pNAD-MDH, plastidic NAD-dependent malate dehydrogenase","malate dehydrogenase"
"137","trnI-CAU","GU08_p41",""
"138","rpl23","BCC7, BMFS5, LFS1, P53, TRP53","tumor protein p53"
"139","rpl2","b3295, ECK3282, pez, phs, sez","RNA polymerase subunit alpha"
"140",".",NA,NA
"141","LOC100808170","","uncharacterized LOC100808170"
"142","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"143","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"144","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"145","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"146","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"147","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"148","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"149","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"150","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"151","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"152","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"153","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"154","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"155","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"156","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"157","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"158","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"159","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"160","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"161","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"162","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"163","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"164","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"165","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"166","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"167","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"168","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"169","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"170","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"171","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"172","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"173","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"174","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"175","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"176","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"177","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"178","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"179","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"180","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"181","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"182","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"183","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"184","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"185","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"186","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"187","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"188","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"189","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"190","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"191","LOC102661143","GLYMA_01G000200","uncharacterized LOC102661143"
"192","LOC121174904","","uncharacterized LOC121174904"
"193","LOC106794262","GLYMA_01G000322v4","protein PHYLLO, chloroplastic-like"
"194","LOC106794262","GLYMA_01G000322v4","protein PHYLLO, chloroplastic-like"
"195","LOC106794262","GLYMA_01G000322v4","protein PHYLLO, chloroplastic-like"
"196","LOC106794262","GLYMA_01G000322v4","protein PHYLLO, chloroplastic-like"
"197","LOC106794262","GLYMA_01G000322v4","protein PHYLLO, chloroplastic-like"
"198","LOC106794262","GLYMA_01G000322v4","protein PHYLLO, chloroplastic-like"
"199","LOC100781438","GLYMA_01G000400","protein FAR1-RELATED SEQUENCE 9"
"200","LOC100781438","GLYMA_01G000400","protein FAR1-RELATED SEQUENCE 9"
"201","LOC100781438","GLYMA_01G000400","protein FAR1-RELATED SEQUENCE 9"
"202","LOC100781438","GLYMA_01G000400","protein FAR1-RELATED SEQUENCE 9"
"203","LOC100781438","GLYMA_01G000400","protein FAR1-RELATED SEQUENCE 9"
"204","LOC100781438","GLYMA_01G000400","protein FAR1-RELATED SEQUENCE 9"
"205",".",NA,NA
"206","LOC100788220","GLYMA_01G000600","protein FAR1-RELATED SEQUENCE 5"
"207","LOC100779643","GLYMA_01G000700","uncharacterized LOC100779643"
"208",".",NA,NA
"209",".",NA,NA
"210",".",NA,NA
"211","LOC100499919","GLYMA_01G001000","ATPase activator domain-containing protein"
"212","LOC100499919","GLYMA_01G001000","ATPase activator domain-containing protein"
"213",".",NA,NA
"214",".",NA,NA
"215",".",NA,NA
"216","LOC100792431","GLYMA_01G001100","chloroplast envelope membrane protein"
"217","LOC100792431","GLYMA_01G001100","chloroplast envelope membrane protein"
"218","LOC100792431","GLYMA_01G001100","chloroplast envelope membrane protein"
"219","LOC100792431","GLYMA_01G001100","chloroplast envelope membrane protein"
"220",".",NA,NA
"221","LOC100792431","GLYMA_01G001100","chloroplast envelope membrane protein"
"222","LOC100792431","GLYMA_01G001100","chloroplast envelope membrane protein"
"223","LOC100792431","GLYMA_01G001100","chloroplast envelope membrane protein"
"224","LOC100792431","GLYMA_01G001100","chloroplast envelope membrane protein"
"225","LOC100792431","GLYMA_01G001100","chloroplast envelope membrane protein"
"226","LOC100783065","GLYMA_01G001200","TORTIFOLIA1-like protein 2"
"227","LOC548054","GLYMA_01G001300, CAS","cycloartenol synthase"
"228",".",NA,NA
"229","LOC100784662","GLYMA_01G001500","cycloartenol synthase"
"230",".",NA,NA
"231","LOC100784662","GLYMA_01G001500","cycloartenol synthase"
"232","LOC100784662","GLYMA_01G001500","cycloartenol synthase"
"233","LOC100784662","GLYMA_01G001500","cycloartenol synthase"
"234","LOC100784662","GLYMA_01G001500","cycloartenol synthase"
"235",".",NA,NA
"236",".",NA,NA
"237",".",NA,NA
"238",".",NA,NA
"239",".",NA,NA
"240",".",NA,NA
"241",".",NA,NA
"242","LOC100795420","GLYMA_01G001600","WD repeat-containing protein 36"
"243",".",NA,NA
"244","LOC100810680","GLYMA_01G001700","protein APEM9"
"245","LOC100810680","GLYMA_01G001700","protein APEM9"
"246","LOC100810680","GLYMA_01G001700","protein APEM9"
"247","LOC100785189","GLYMA_01G001800","pollen receptor-like kinase 2"
"248","LOC100785189","GLYMA_01G001800","pollen receptor-like kinase 2"
"249","LOC100785729","GLYMA_01G001900","U-box domain-containing protein 52"
"250","LOC100788024","GLYMA_01G002000","uncharacterized LOC100788024"
"251",".",NA,NA
"252",".",NA,NA
"253",".",NA,NA
"254","LOC100817780","GLYMA_01G002100","auxin response factor 19"
"255","LOC100817780","GLYMA_01G002100","auxin response factor 19"
"256",".",NA,NA
"257",".",NA,NA
"258","LOC100810153","GLYMA_01G002200","methyl-CpG-binding domain-containing protein 2"
"259","LOC100810153","GLYMA_01G002200","methyl-CpG-binding domain-containing protein 2"
"260","LOC100810153","GLYMA_01G002200","methyl-CpG-binding domain-containing protein 2"
"261","LOC100810153","GLYMA_01G002200","methyl-CpG-binding domain-containing protein 2"
"262","LOC100810153","GLYMA_01G002200","methyl-CpG-binding domain-containing protein 2"
"263","LOC100786243","GLYMA_01G002300","sodium transporter HKT1"
"264","LOC100797904","GLYMA_01G002400","phospholipase A2 homolog 3-like"
"265","LOC121175298","","uncharacterized LOC121175298"
"266","LOC100789438","GLYMA_01G002600","ectonucleotide pyrophosphatase/phosphodiesterase family member 3"
"267","LOC100817252","GLYMA_01G002700","thioredoxin-like 2, chloroplastic"
"268",".",NA,NA
"269","LOC100787322","GLYMA_01G002800","PRA1 family protein F2"
"270","LOC100787849","","uncharacterized LOC100787849"
"271","MYB128","GLYMA_01G003000, MYB129","MYB transcription factor MYB128"
"272","LOC100778233","GLYMA_01G003100","uncharacterized LOC100778233"
"273","LOC100778233","GLYMA_01G003100","uncharacterized LOC100778233"
"274","LOC100788388","GLYMA_01G003200","probable acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase, mitochondrial"
"275","LOC100788388","GLYMA_01G003200","probable acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase, mitochondrial"
"276","LOC100788916","","protein EFFECTOR OF TRANSCRIPTION 2-like"
"277","LOC100802330","GLYMA_01G003400","pentatricopeptide repeat-containing protein At2g15690, mitochondrial"
"278","LOC100789441","","mitochondrial carrier protein CoAc2-like"
"279","LOC100793675","GLYMA_01G003500","protein NDL1"
"280","LOC100790501","GLYMA_01G003600","uncharacterized LOC100790501"
"281","LOC100778421","GLYMA_01G003700","uncharacterized LOC100778421"
"282","LOC100795951","GLYMA_01G003800","probable protein arginine N-methyltransferase 1-like"
"283","LOC100791024","GLYMA_01G003900","1-aminocyclopropane-1-carboxylate synthase 7"
"284","LOC100527431","GLYMA_01G004000","phospholipase A2"
"285","LOC100791547","GLYMA_01G004100","uncharacterized LOC100791547"
"286","LOC100800911","GLYMA_01G004200","probable caffeoyl-CoA O-methyltransferase At4g26220"
"287","LOC100800911","GLYMA_01G004200","probable caffeoyl-CoA O-methyltransferase At4g26220"
"288",".",NA,NA
"289","LOC100810835","GLYMA_01G004300","60S ribosomal protein L31"
"290",".",NA,NA
"291",".",NA,NA
"292","LOC100792080","","pentatricopeptide repeat-containing protein At3g14330-like"
"293","LOC100792607","GLYMA_01G004500","vacuolar protein sorting-associated protein 32 homolog 2"
"294","LOC100792607","GLYMA_01G004500","vacuolar protein sorting-associated protein 32 homolog 2"
"295","LOC100306086","GLYMA_01G004600","uncharacterized LOC100306086"
"296",".",NA,NA
"297","LOC100778781","GLYMA_01G004700","meiotic nuclear division protein 1 homolog"
"298","LOC100778781","GLYMA_01G004700","meiotic nuclear division protein 1 homolog"
"299","LOC100793137","GLYMA_01G004800","probable LRR receptor-like serine/threonine-protein kinase At4g29180"
"300",".",NA,NA
"301",".",NA,NA
"302","LOC100793668","","vacuolar protein sorting-associated protein 32 homolog 2"
"303","LOC778160","GLYMA_01G004900","transcription factor MYBJ6"
"304","LOC778160","GLYMA_01G004900","transcription factor MYBJ6"
"305","LOC100809761","GLYMA_01G005000","zinc finger CCCH domain-containing protein 20"
"306","LOC106795206","","uncharacterized LOC106795206"
"307","LOC100794523","GLYMA_01G005100","inositol oxygenase 2-like"
"308","LOC100810474","GLYMA_01G005200","glutathione hydrolase 3"
"309","LOC100810474","GLYMA_01G005200","glutathione hydrolase 3"
"310","LOC100779465","GLYMA_01G005300","AP-4 complex subunit sigma"
"311",".",NA,NA
"312","LOC100793844","GLYMA_01G005400","ATP-dependent 6-phosphofructokinase 3"
"313","LOC100793844","GLYMA_01G005400","ATP-dependent 6-phosphofructokinase 3"
"314","LOC100795246","GLYMA_01G005500","NAC domain-containing protein 75"
"315","LOC100795246","GLYMA_01G005500","NAC domain-containing protein 75"
"316","LOC100795246","GLYMA_01G005500","NAC domain-containing protein 75"
"317","LOC100795246","GLYMA_01G005500","NAC domain-containing protein 75"
"318","LOC100795246","GLYMA_01G005500","NAC domain-containing protein 75"
"319","LOC100795246","GLYMA_01G005500","NAC domain-containing protein 75"
"320","LOC100795246","GLYMA_01G005500","NAC domain-containing protein 75"
"321",".",NA,NA
"322","LOC100775544","GLYMA_01G005600","leucine-rich repeat extensin-like protein 4-like"
"323","LOC100775544","GLYMA_01G005600","leucine-rich repeat extensin-like protein 4-like"
"324","LOC100795786","GLYMA_01G005700","acid phosphatase 1"
"325","LOC100805866","GLYMA_01G005800","uncharacterized LOC100805866"
"326",".",NA,NA
"327","LOC100778045","GLYMA_01G005900","profilin-4"
"328","LOC100306340","GLYMA_01G006000","uncharacterized LOC100306340"
"329",".",NA,NA
"330","LOC100796303","GLYMA_01G006100","arginine--tRNA ligase, chloroplastic/mitochondrial"
"331",".",NA,NA
"332",".",NA,NA
"333",".",NA,NA
"334",".",NA,NA
"335","LOC100796303","GLYMA_01G006100","arginine--tRNA ligase, chloroplastic/mitochondrial"
"336","LOC100816703","GLYMA_01G006200","programmed cell death protein 4"
"337",".",NA,NA
"338",".",NA,NA
"339",".",NA,NA
"340","ARGS","BFGF, FGF-2, FGFB, HBGF-2","fibroblast growth factor 2"
"341","ARGS","BFGF, FGF-2, FGFB, HBGF-2","fibroblast growth factor 2"
"342","LOC100790845","GLYMA_01G006500","DNA-directed RNA polymerase III subunit 2"
"343","LOC100790845","GLYMA_01G006500","DNA-directed RNA polymerase III subunit 2"
"344",".",NA,NA
"345",".",NA,NA
"346",".",NA,NA
"347","LOC100790845","GLYMA_01G006500","DNA-directed RNA polymerase III subunit 2"
"348","LOC100790845","GLYMA_01G006500","DNA-directed RNA polymerase III subunit 2"
"349",".",NA,NA
"350",".",NA,NA
"351",".",NA,NA
"352","LOC100790845","GLYMA_01G006500","DNA-directed RNA polymerase III subunit 2"
"353","LOC100796837","GLYMA_01G006600","serine/threonine-protein kinase VPS15"
"354","LOC100796837","GLYMA_01G006600","serine/threonine-protein kinase VPS15"
"355","LOC121175242","","probable glutamate carboxypeptidase LAMP1"
"356","LOC100797366","GLYMA_01G006700","probable glutamate carboxypeptidase LAMP1"
"357","LOC100797366","GLYMA_01G006700","probable glutamate carboxypeptidase LAMP1"
"358","LOC100797366","GLYMA_01G006700","probable glutamate carboxypeptidase LAMP1"
"359",".",NA,NA
"360","LOC100797366","GLYMA_01G006700","probable glutamate carboxypeptidase LAMP1"
"361",".",NA,NA
"362","LOC100793314","GLYMA_01G006800","probable pectinesterase 53"
"363",".",NA,NA
"364",".",NA,NA
"365",".",NA,NA
"366","LOC100527738","GLYMA_01G006900","uncharacterized LOC100527738"
"367",".",NA,NA
"368","IQD1","AT5G37780, ACAM-1, K22F20.20, K22F20_20, TCH1, TOUCH 1, calmodulin 1","calmodulin 1"
"369","LOC100798432","GLYMA_01G007100","protein DETOXIFICATION 51"
"370",".",NA,NA
"371","LOC100796995","GLYMA_01G007200","hexokinase-1"
"372","LOC100783774","GLYMA_01G007300","hexokinase-1"
"373",".",NA,NA
"374",".",NA,NA
"375",".",NA,NA
"376","LOC100785907","GLYMA_01G007400","receptor-like protein kinase 5"
"377","LOC100798963","GLYMA_01G007500","receptor-like protein kinase HSL1"
"378","LOC100786954","GLYMA_01G007700","mitochondrial import inner membrane translocase subunit TIM17-2"
"379","LOC100799480","GLYMA_01G007800","DNA (cytosine-5)-methyltransferase CMT3"
"380",".",NA,NA
"381","LOC100800015","GLYMA_01G007900","uncharacterized LOC100800015"
"382","LOC100790330","GLYMA_01G008000","cytochrome B5-like protein"
"383","LOC100800545","GLYMA_01G008100","senescence/dehydration-associated protein At4g35985, chloroplastic"
"384","LOC100801088","GLYMA_01G008200","putative ABC transporter B family member 8"
"385","LOC102670292","GLYMA_01G008300","uncharacterized LOC102670292"
"386","LOC100794532","GLYMA_01G008400","probable iron/ascorbate oxidoreductase DDB_G0283291-like"
"387","LOC100794532","GLYMA_01G008400","probable iron/ascorbate oxidoreductase DDB_G0283291-like"
"388","LOC100794532","GLYMA_01G008400","probable iron/ascorbate oxidoreductase DDB_G0283291-like"
"389","LOC100796117","GLYMA_01G008500","NADP-dependent malic enzyme"
"390",".",NA,NA
"391","LOC732608","GLYMA_01G008600, GmGBP2","GAMYB-binding protein"
"392","RDR3","GLYMA_01G008700, RdRP","RNA-dependent RNA polymerase"
"393","LOC100500532","GLYMA_01G008800","bS6_MRPS6 domain-containing protein"
