"uid","gene_name","alias","desc"
"100797119","LOC100797119","GLYMA_13G236300","protein NUCLEAR FUSION DEFECTIVE 6, mitochondrial"
NA,".",NA,NA
NA,".",NA,NA
"100799485","LOC100799485","GLYMA_09G052100","RNA-binding KOW domain-containing protein"
"100499761","LOC100499761","GLYMA_11G209200","uncharacterized LOC100499761"
"100787024","LOC100787024","GLYMA_19G193200","60S acidic ribosomal protein P2-2"
"821717","IQD14","AT3G21630, AtCERK1, AtLYK1, LYK1, LYSM DOMAIN RECEPTOR-LIKE KINASE 1, LYSM RLK1, LysM-containing receptor-like kinase 1, chitin elicitor receptor kinase 1","chitin elicitor receptor kinase 1"
"100782730","LOC100782730","GLYMA_10G055400","uncharacterized LOC100782730"
NA,".",NA,NA
NA,".",NA,NA
"100780556","LOC100780556","GLYMA_09G185200","uncharacterized LOC100780556"
"100306279","LOC100306279","GLYMA_01G209400","40S ribosomal protein S30"
"100817130","LOC100817130","GLYMA_18G132500","probable inactive purple acid phosphatase 1"
NA,".",NA,NA
NA,".",NA,NA
"100775486","LOC100775486","GLYMA_05G048500","zinc finger protein SHOOT GRAVITROPISM 5"
"100800303","CYP43","GLYMA_06G070300, GmCYP43","peptidyl-prolyl cis-trans isomerase CYP43"
"100796764","LOC100796764","GLYMA_06G086300","protein NONRESPONDING TO OXYLIPINS 2, mitochondrial"
"100805957","LOC100805957","GLYMA_04G122700","60S ribosomal protein L13-1"
"100801918","LOC100801918","GLYMA_06G122600","alcohol dehydrogenase 1"
"100780764","LOC100780764","GLYMA_10G162000","GDP-mannose 3,5-epimerase-like"
"100781886","LOC100781886","GLYMA_12G006700","uncharacterized LOC100781886"
"100782747","LOC100782747","GLYMA_18G204200","pyruvate decarboxylase 2"
"100776345","LOC100776345","GLYMA_03G178000","40S ribosomal protein S23-like"
NA,".",NA,NA
"100806196","LOC100806196","GLYMA_15G077400","protein NUCLEAR FUSION DEFECTIVE 6, mitochondrial"
"100804817","LOC100804817","GLYMA_09G257500","uncharacterized LOC100804817"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"100792418","LOC100792418","GLYMA_16G206500","60S ribosomal protein L2, mitochondrial-like"
NA,".",NA,NA
"100786306","LOC100786306","GLYMA_19G099600","uncharacterized LOC100786306"
NA,".",NA,NA
"100814897","LOC100814897","GLYMA_05G058100","L-lactate dehydrogenase B"
"100796208","LOC100796208","GLYMA_20G125700","uncharacterized LOC100796208"
NA,".",NA,NA
"100784380","LOC100784380","GLYMA_04G090100","transcription factor bHLH93-like"
NA,".",NA,NA
"100527888","LOC100527888","GLYMA_16G037600","plant cysteine oxidase 2"
"100804466","LOC100804466","","uncharacterized LOC100804466"
NA,".",NA,NA
"100795265","LOC100795265","GLYMA_13G320700","protein saal1"
NA,".",NA,NA
"112999036","LOC112999036","","18S ribosomal RNA"
"100527527","GASA36","GLYMA_20G131100, GmGASA36","gibberellin-regulated protein 36"
"100798674","LOC100798674","GLYMA_11G003700","40S ribosomal protein S15a-1"
"100794689","LOC100794689","GLYMA_08G129800","protein WHAT'S THIS FACTOR 9, mitochondrial"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"106795008","LOC106795008","GLYMA_10G260700","uncharacterized LOC106795008"
"100796961","LOC100796961","GLYMA_14G136700","serine/arginine-rich splicing factor RSZ22"
"100527774","LOC100527774","GLYMA_08G364400","uncharacterized LOC100527774"
NA,".",NA,NA
"100306069","LOC100306069","GLYMA_06G111500","uncharacterized LOC100306069"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"100809096","LOC100809096","GLYMA_02G085300","40S ribosomal protein S2-4"
"100810363","LOC100810363","GLYMA_11G019500","40S ribosomal protein S2-4"
"100809419","LOC100809419","GLYMA_16G127100","pathogenesis-related thaumatin-like protein 3.5"
"100803056","LOC100803056","GLYMA_10G089200","actin-related protein 7"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"100499804","LOC100499804","GLYMA_02G067400","uncharacterized LOC100499804"
NA,".",NA,NA
NA,".",NA,NA
"100809240","LOC100809240","GLYMA_17G098900","transcription factor bHLH47"
"547938","LOC547938","GLYMA_06G160300","defensin-like protein"
"100789332","LOC100789332","GLYMA_11G130900","histone H3.2"
"100813601","LOC100813601","GLYMA_11G032800","40S ribosomal protein S30"
"100819098","LOC100819098","GLYMA_19G051500","E3 ubiquitin-protein ligase RGLG2"
"100811085","LOC100811085","GLYMA_03G207700","40S ribosomal protein S28"
"100804776","LOC100804776","GLYMA_08G131500","60S acidic ribosomal protein P3"
NA,".",NA,NA
NA,".",NA,NA
"113001441","LOC113001441","GLYMA_04G007900","30S ribosomal protein S31, mitochondrial"
"100791948","LOC100791948","GLYMA_10G201500","uncharacterized LOC100791948"
"100499935","LOC100499935","GLYMA_16G074600","60S ribosomal protein L13"
"113001804","LOC113001804","","small nucleolar RNA SNORD14"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"100306092","LOC100306092","GLYMA_07G018000, GmTIP2;3, GmTIP2;5, TIP2-3","aquaporin TIP2-3"
"351","ASP1","AAA, ABETA, ABPP, AD1, APPI, CTFgamma, CVAP, PN-II, PN2, alpha-sAPP, preA4","amyloid beta precursor protein"
"100499916","LOC100499916","GLYMA_15G098500","acyl carrier protein 1, chloroplastic"
"102660769","LOC102660769","GLYMA_20G115300","ethylene-responsive transcription factor ERF118"
"100527623","LOC100527623","GLYMA_03G231700","uncharacterized LOC100527623"
"100500459","LOC100500459","GLYMA_05G068500v4","FCS-like zinc-finger domain-containing protein"
"100305798","LOC100305798","GLYMA_09G239000","uncharacterized LOC100305798"
"102662805","LOC102662805","GLYMA_06G184300","uncharacterized LOC102662805"
NA,".",NA,NA
"100499916","LOC100499916","GLYMA_15G098500","acyl carrier protein 1, chloroplastic"
NA,".",NA,NA
"100812187","LOC100812187","GLYMA_04G042100","probable isoaspartyl peptidase/L-asparaginase 2-like"
"100527838","LOC100527838","GLYMA_01G167300","60S ribosomal protein L8-1"
"100804154","LOC100804154","GLYMA_19G164500","protein root UVB sensitive 2, chloroplastic"
NA,".",NA,NA
"100807850","LOC100807850","GLYMA_18G197600","sulfoquinovosyl transferase SQD2"
NA,".",NA,NA
"100306476","LOC100306476","GLYMA_14G008500","uncharacterized LOC100306476"
"100793233","LOC100793233","GLYMA_20G204200","probable small nuclear ribonucleoprotein Sm D2-like"
"100786189","LOC100786189","GLYMA_13G280300","60S ribosomal protein L5"
NA,".",NA,NA
NA,".",NA,NA
"100793880","LOC100793880","","uncharacterized LOC100793880"
"100798683","LOC100798683","GLYMA_12G218100","exosome complex exonuclease RRP44 homolog A"
"100811901","LOC100500445","","transcription factor MYB21-like"
"100305732","LOC100305732","GLYMA_03G242900","superoxide dismutase [Cu-Zn]"
NA,".",NA,NA
"100783161","LOC100783161","GLYMA_20G017300","mitochondrial import inner membrane translocase subunit TIM17-2"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"100794110","LOC100794110","GLYMA_13G126400","60S ribosomal protein L23"
"100817224","LOC100817224","GLYMA_15G147300","uncharacterized LOC100817224"
"100814593","LOC100814593","GLYMA_01G131100","aspartate aminotransferase, mitochondrial"
"100306523","LOC100306523","GLYMA_02G034600","uncharacterized LOC100306523"
"102670364","LOC102670364","GLYMA_04G014000","polyol transporter 5"
"100788575","LOC100788575","GLYMA_17G218000","U-box domain-containing protein 7"
"102665140","LOC102665140","GLYMA_19G140500","uncharacterized LOC102665140"
"100781544","LOC100781544","GLYMA_12G116000","RNA polymerase II subunit 5-mediating protein homolog"
"100785061","LOC100785061","GLYMA_18G258900","60S ribosomal protein L34"
"100795307","LOC100795307","GLYMA_11G090400","upstream activation factor subunit UAF30"
"100778317","LOC100778317","GLYMA_20G083800","histone H4"
"100785976","LOC100785976","GLYMA_04G229000","60S acidic ribosomal protein P1"
"100812117","LOC100812117","GLYMA_02G103600","40S ribosomal protein S16"
"100306384","LOC100306384","GLYMA_03G125800","uncharacterized LOC100306384"
"100778013","LOC100778013","GLYMA_13G331900","60S ribosomal protein L35"
"100813075","LOC100813075","GLYMA_12G055000","lysine-specific demethylase JMJ30"
"100786807","LOC100786807","GLYMA_02G288900","small nuclear ribonucleoprotein-associated protein B"
"100811636","LOC100811636","GLYMA_19G167800","60S ribosomal protein L23"
"100802041","LOC100802041","GLYMA_19G128800, GmPIN1e, PIN10a","auxin efflux transporter family protein"
"100791896","LOC100791896","GLYMA_08G232000","prohibitin-3, mitochondrial"
NA,".",NA,NA
NA,".",NA,NA
"100814347","LOC100814347","","uncharacterized LOC100814347"
"100817574","LOC100817574","GLYMA_14G213600","plasmodesmata-located protein 7"
NA,".",NA,NA
"100776354","LOC100776354","GLYMA_19G105700","40S ribosomal protein S27-2"
"100817521","LOC100817521","GLYMA_20G050300","alcohol dehydrogenase-like 7"
"100799491","LOC100799491","GLYMA_09G240100","plant cysteine oxidase 2"
"100788686","LOC100788686","GLYMA_06G025600","uncharacterized LOC100788686"
"100819571","LOC100819571","GLYMA_01G062400","putative copper amine oxidase"
"7157","TSA","BCC7, BMFS5, LFS1, P53, TRP53","tumor protein p53"
NA,".",NA,NA
"100037453","KASII-B","GLYMA_13G112700","plastid 3-keto-acyl-ACP synthase II-B"
"100800447","LOC100800447","GLYMA_12G166500","MACPF domain-containing protein At4g24290"
"100500102","LOC100500102","GLYMA_19G009300","uncharacterized LOC100500102"
"100306301","LOC100306301","GLYMA_19G211800","60S ribosomal protein L18"
NA,".",NA,NA
"100527911","LOC100527911","GLYMA_05G241200","40S ribosomal protein S16"
NA,".",NA,NA
NA,".",NA,NA
"100803594","LOC100803594","GLYMA_18G124600","ubiquitin-conjugating enzyme E2 2"
"100797625","LOC100797625","GLYMA_04G200700","rRNA 2'-O-methyltransferase fibrillarin 2"
"100817338","LOC100817338","GLYMA_12G115400","uncharacterized LOC100817338"
"102669499","LOC102669499","GLYMA_07G087300","uncharacterized LOC102669499"
NA,".",NA,NA
"100819947","LOC100819947","GLYMA_17G130400","zinc finger protein SHOOT GRAVITROPISM 5"
"100807864","LOC100807864","GLYMA_03G189700","pyruvate kinase 1, cytosolic"
"112997632","LOC100809404","","protein LURP-one-related 10-like"
"100499915","LOC100499915","GLYMA_03G222100","nitrogen regulatory P-II-like protein"
NA,".",NA,NA
"106796585","LOC106796585","GLYMA_16G127200","cold shock domain-containing protein 3"
"100792158","LOC100792158","GLYMA_04G217100","ribonuclease P protein subunit p25-like protein"
NA,".",NA,NA
"100781420","LOC100781420","GLYMA_08G227400","histone H3.2"
"100789608","LOC100789608","GLYMA_08G212800","pseudo histidine-containing phosphotransfer protein 6"
"100788694","LOC100788694","GLYMA_14G133100","uncharacterized LOC100788694"
"106794096","LOC106794096","GLYMA_17G054900","transmembrane protein 258"
"100787172","LOC100787172","GLYMA_10G160800","uncharacterized LOC100787172"
"100780743","LOC100780743","GLYMA_02G258600","uncharacterized LOC100780743"
NA,".",NA,NA
"100818410","LOC100818410","GLYMA_12G131700","60S ribosomal protein L11"
"100795778","LOC100795778","GLYMA_01G020500","MADS-box transcription factor 23"
"100500170","LOC100499944","","uncharacterized LOC100500170"
"100795096","LOC100795096","GLYMA_18G010300","50S ribosomal protein L11"
"100782374","LOC100782374","GLYMA_02G143200","histone H2A variant 1"
NA,".",NA,NA
"121173836","LOC121173836","","40S ribosomal protein S30"
"102661113","LOC102661113","GLYMA_08G180500","protein SODIUM POTASSIUM ROOT DEFECTIVE 3"
NA,".",NA,NA
"100807176","LOC100807176","GLYMA_04G063000","60S ribosomal protein L39"
NA,".",NA,NA
NA,".",NA,NA
"100306305","LOC100306305","GLYMA_06G064200","60S ribosomal protein L39"
NA,".",NA,NA
NA,".",NA,NA
"100788688","LOC100788688","GLYMA_06G164800","rRNA 2'-O-methyltransferase fibrillarin 2"
"100787707","LOC100787707","GLYMA_10G164100","GRF1-interacting factor 1"
"100797105","LOC100797105","GLYMA_05G239000","40S ribosomal protein S2-4"
"100790389","LOC100790389","GLYMA_11G001400","40S ribosomal protein S29"
"100788471","LOC100788471","GLYMA_12G056300","AP2-like ethylene-responsive transcription factor PLT2"
"839515","GSTF7","AT1G02930, ARABIDOPSIS GLUTATHIONE S-TRANSFERASE 1, ARABIDOPSIS THALIANA GLUATIONE S-TRANSFERASE F3, ATGST1, ATGSTF3, ATGSTF6, EARLY RESPONSIVE TO DEHYDRATION 11, ERD11, F22D16.7, F22D16_7, GLUTATHIONE S-TRANSFERASE, GLUTATHIONE S-TRANSFERASE 1, GST1, glutathione S-transferase 6","glutathione S-transferase 6"
"100802042","LOC100802042","GLYMA_19G019000","uncharacterized LOC100802042"
"100499826","LOC100499826","GLYMA_15G071900","uncharacterized LOC100499826"
"102665105","LOC102665105","GLYMA_09G140800","E3 ubiquitin-protein ligase ATL31"
"100789845","LOC100789845","GLYMA_10G045900","60S ribosomal protein L35"
"100306699","LOC100306699","GLYMA_10G039900","uncharacterized LOC100306699"
NA,".",NA,NA
"113000298","LOC113000298","","small nucleolar RNA SNORD25"
"100813931","LOC100813931","GLYMA_18G107600","probable receptor-like protein kinase At2g42960"
NA,".",NA,NA
"100788981","LOC100788981","GLYMA_19G110900","putative H/ACA ribonucleoprotein complex subunit 1-like protein 1"
"100794762","LOC100794762","GLYMA_18G275800","uncharacterized LOC100794762"
"100775871","LOC100775871","GLYMA_13G064300","plant cysteine oxidase 2"
"106796022","LOC106796022","","uncharacterized LOC106796022"
NA,".",NA,NA
