"","uid","gene_name","alias","desc","id","gene_id","group","expression","GENENAME","GO"
"13",818395,"PHT1-1","AT2G38170, ATCAX1, F16M14.10, F16M14_10, HIGH AFFINITY CALCIUM ANTIPORTER CAX1, RARE COLD INDUCIBLE 4, RCI4, cation exchanger 1","cation exchanger 1",59219,"MSTRG.20028","t20","up",NA,NA
"14",831207,"CHLH","AT5G13630, ABA-BINDING PROTEIN, ABAR, CCH, CCH1, CHLH, CONDITIONAL CHLORINA, GENOMES UNCOUPLED 5, H SUBUNIT OF MG-CHELATASE, T6I14.12","magnesium-chelatase subunit chlH, chloroplast, putative / Mg-protoporphyrin IX chelatase, putative (CHLH)",14695,"MSTRG.4933","t20","up",NA,NA
"15",851752,"HIR3","YDR172W, GST1, PNM2, SAL3, SUF12, SUP2, SUP36","translation termination factor GTPase eRF3",23847,"MSTRG.8138","t20","up",NA,NA
"16",100305418,"LOC100305418","GLYMA_12G002400","cytokinin-regulated kinase",67475,"MSTRG.23006","t20","up","cytokinin-regulated kinase","GO:0016021,GO:0005524,GO:0042803,GO:0004674"
"17",100305767,"LOC100305767","GLYMA_08G158100","uncharacterized LOC100305767",44869,"MSTRG.15338","t20","up","uncharacterized LOC100305767","GO:0016021"
"18",100305781,"GLYI-17","GLYMA_12G167400, GmGLYI-17","putative lactoylglutathione lyase",70964,"MSTRG.24069","t20","up","putative lactoylglutathione lyase",NA
"19",100305934,"LOC100305934","GLYMA_06G053300","uncharacterized LOC100305934",29857,"MSTRG.10166","t20","up","uncharacterized LOC100305934",NA
"20",100306006,"LOC100306006","GLYMA_15G256300","uncharacterized LOC100306006",91174,"MSTRG.30778","t20","up","uncharacterized LOC100306006",NA
"21",100306170,"LOC100306170","GLYMA_10G230600","heavy-metal-associated domain-containing protein",60160,"MSTRG.20365","t20","up","heavy-metal-associated domain-containing protein","GO:0046872"
"22",100306181,"LOC100306181","GLYMA_20G129900","BSP domain-containing protien",116036,"MSTRG.39148","t20","up","BSP domain-containing protien",NA
"23",100306535,"LOC100306535","GLYMA_10G013700","uncharacterized LOC100306535",55394,"MSTRG.18857","t20","up","uncharacterized LOC100306535",NA
"24",100306554,"LOC100306554","GLYMA_04G020300","plastocyanin",17840,"MSTRG.6121","t20","up","plastocyanin","GO:0009535,GO:0005507,GO:0009055"
"25",100306576,"LOC100306576","GLYMA_11G236500","uncharacterized LOC100306576",66880,"MSTRG.22815","t20","up","uncharacterized LOC100306576",NA
"26",100499653,"LOC100499653","GLYMA_06G259800","TIR-NBS-LRR type disease resistance protein",34327,"MSTRG.11656","t20","up","TIR-NBS-LRR type disease resistance protein","GO:0043531,GO:0006952"
"27",100500210,"LOC100500210","GLYMA_13G250700","uncharacterized LOC100500210",78091,"MSTRG.26450","t20","up","uncharacterized LOC100500210","GO:0016021"
"28",100500484,"LOC100500484","GLYMA_03G045600","dirigent-like protein",118690,"MSTRG.40098","t20","up","dirigent-like protein","GO:0048046"
"29",100500597,"LOC100500597","GLYMA_13G054700","uncharacterized LOC100500597",73849,"MSTRG.24910","t20","up","uncharacterized LOC100500597",NA
"30",100500640,"LOC100500640","GLYMA_17G036400, GmC/VIF2","cell wall / vacuolar inhibitor of fructosidase",96832,"MSTRG.32768","t20","up","cell wall / vacuolar inhibitor of fructosidase","GO:0004857"
"31",100527578,"LOC100527578","GLYMA_18G005000","uncharacterized LOC100527578",101865,"MSTRG.34502","t20","up","uncharacterized LOC100527578","GO:0016021"
"32",100527605,"LOC100527605","GLYMA_11G152000","uncharacterized LOC100527605",65420,"MSTRG.22383","t20","up","uncharacterized LOC100527605",NA
"33",100527615,"LOC100527615","GLYMA_11G222300","tropinone reductase homolog At5g06060",66575,"MSTRG.22686","t20","up","tropinone reductase homolog At5g06060","GO:0016491"
"34",100527644,"LOC100527644","GLYMA_18G191800","uncharacterized LOC100527644",105553,"MSTRG.35663","t20","up","uncharacterized LOC100527644","GO:0005504,GO:0009627"
"35",100527669,"LOC100527669","GLYMA_16G177900","uncharacterized LOC100527669",95255,"MSTRG.32154","t20","up","uncharacterized LOC100527669","GO:0046872"
"36",100736527,"PIP2-9","SlPIP2-9","aquaporin PIP2-9",6900,"MSTRG.2405","t20","up",NA,NA
"37",100775519,"LOC100775519","GLYMA_07G212800","ferredoxin--nitrite reductase, chloroplastic",40172,"MSTRG.13569","t20","up","ferredoxin--nitrite reductase, chloroplastic","GO:0009570,GO:0051539,GO:0020037,GO:0046872,GO:0016491"
"38",100776062,"LOC100776062","","probable protein phosphatase 2C 1",82756,"MSTRG.28183","t20","up",NA,NA
"39",100776335,"LOC100776335","GLYMA_10G291400","caffeoylshikimate esterase",61410,"MSTRG.20856","t20","up","caffeoylshikimate esterase",NA
"40",100776827,"LOC100776827","GLYMA_09G256100","probable polygalacturonase",54386,"MSTRG.18503","t20","up","probable polygalacturonase","GO:0004650,GO:0005975"
"41",100777264,"LOC100777264","GLYMA_12G235100","protein SRG1-like",72293,"MSTRG.24558","t20","up","protein SRG1-like","GO:0046872,GO:0016491"
"42",100777578,"LOC100777578","GLYMA_11G085300","probable serine/threonine-protein kinase PIX13",63374,"MSTRG.21610","t20","up","probable serine/threonine-protein kinase PIX13","GO:0005524,GO:0004674"
"43",100777818,"LOC100777818","GLYMA_06G128700","calcineurin B-like protein 4",31512,"MSTRG.10798","t20","up","calcineurin B-like protein 4","GO:0005509"
"44",100778270,"LOC100778270","GLYMA_18G300800","leucine-rich repeat extensin-like protein 6",107684,"MSTRG.36421","t20","up","leucine-rich repeat extensin-like protein 6",NA
"45",100778340,"LOC100778340","GLYMA_13G095300","probable xyloglucan endotransglucosylase/hydrolase protein 23",74644,"MSTRG.25205","t20","up","probable xyloglucan endotransglucosylase/hydrolase protein 23","GO:0048046,GO:0004553,GO:0016762,GO:0042546,GO:0071555,GO:0010411"
"46",100779095,"LOC100779095","GLYMA_07G262500","S-type anion channel SLAH4",41192,"MSTRG.13945","t20","up","S-type anion channel SLAH4","GO:0016021,GO:0005886,GO:0008308,GO:0006873"
"47",100779097,"LOC100779097","","probable sulfate transporter 3.5",37535,"MSTRG.12767","t20","up",NA,NA
"48",100779180,"LOC100779180","GLYMA_11G069600","laccase-11",63088,"MSTRG.21481","t20","up","laccase-11","GO:0048046,GO:0005507,GO:0052716,GO:0016491,GO:0046274"
"49",100779437,"LOC100779437","GLYMA_07G102400","protein C2-DOMAIN ABA-RELATED 4",37808,"MSTRG.12875","t20","up","protein C2-DOMAIN ABA-RELATED 4","GO:0005634,GO:0005886,GO:0009738"
"50",100779961,"HGO2","GLYMA_06G234200, GmHGO2","homogentisate 1,2-dioxygenase",33862,"MSTRG.11548","t20","up","homogentisate 1,2-dioxygenase",NA
"51",100780697,"LOC100780697","GLYMA_15G072400","stem-specific protein TSJT1-like",87354,"MSTRG.29620","t20","up","stem-specific protein TSJT1-like",NA
"52",100780762,"LOC100780762","GLYMA_10G124300","uncharacterized LOC100780762",57844,"MSTRG.19559","t20","up","uncharacterized LOC100780762","GO:0005737,GO:0016020"
"53",100781785,"LOC100781785","GLYMA_15G021800","LRR receptor-like serine/threonine-protein kinase IOS1",86208,"MSTRG.29194","t20","up","LRR receptor-like serine/threonine-protein kinase IOS1","GO:0016021,GO:0005524,GO:0004674"
"54",100781974,"LOC100781974","GLYMA_16G017200","soluble inorganic pyrophosphatase 1",91911,"MSTRG.31075","t20","up","soluble inorganic pyrophosphatase 1",NA
"55",100782104,"LOC100782104","GLYMA_13G095200","probable xyloglucan endotransglucosylase/hydrolase protein 23",74643,"MSTRG.25204","t20","up","probable xyloglucan endotransglucosylase/hydrolase protein 23","GO:0048046,GO:0004553,GO:0016762,GO:0042546,GO:0071555,GO:0010411"
"56",100782266,"CRK70","GLYMA_20G137900, GmCRK70","cysteine-rich receptor-like protein kinase",116216,"MSTRG.39210","t20","up","cysteine-rich receptor-like protein kinase","GO:0016021,GO:0005886,GO:0005524,GO:0004674,GO:0006468"
"57",100782656,"LOC100782656","GLYMA_13G058400","membrane-anchored ubiquitin-fold protein 1",73911,"MSTRG.24941","t20","up","membrane-anchored ubiquitin-fold protein 1","GO:0005886"
"58",100782656,"LOC100782656","GLYMA_13G058400","membrane-anchored ubiquitin-fold protein 1",73912,"MSTRG.24941","t20","up","membrane-anchored ubiquitin-fold protein 1","GO:0005886"
"59",100782656,"LOC100782656","GLYMA_13G058400","membrane-anchored ubiquitin-fold protein 1",73914,"MSTRG.24941","t20","up","membrane-anchored ubiquitin-fold protein 1","GO:0005886"
"60",100782800,"CRK71","GLYMA_20G138100, GmCRK71","cysteine-rich receptor-like protein kinase",116220,"MSTRG.39211","t20","up","cysteine-rich receptor-like protein kinase","GO:0016021,GO:0005886,GO:0005524,GO:0004674,GO:0006468"
"61",100783376,"LOC100783376","GLYMA_14G016300","zinc finger CCCH domain-containing protein 29",81050,"MSTRG.27567","t20","up","zinc finger CCCH domain-containing protein 29","GO:0046872,GO:0060255,GO:0051171,GO:0080090"
"62",100783382,"LOC100783382","GLYMA_07G086500","kinesin-like protein KIN-13B",37502,"MSTRG.12751","t20","up","kinesin-like protein KIN-13B","GO:0005874,GO:0005524,GO:0008017,GO:0003777,GO:0007018"
"63",100783626,"LOC100783626","GLYMA_10G116600","AP2-like ethylene-responsive transcription factor TOE3",57638,"MSTRG.19519","t20","up","AP2-like ethylene-responsive transcription factor TOE3","GO:0005634,GO:0003677,GO:0003700"
"64",100783889,"LOC100783889","GLYMA_05G001500","uncharacterized LOC100783889",23215,"MSTRG.7906","t20","up","uncharacterized LOC100783889",NA
"65",100784098,"LOC100784098","GLYMA_15G171000","IQ domain-containing protein IQM1",89259,"MSTRG.30323","t20","up","IQ domain-containing protein IQM1","GO:0005634"
"66",100784166,"LOC100784166","GLYMA_02G029200","protein JINGUBANG",5944,"MSTRG.2064","t20","up","protein JINGUBANG",NA
"67",100784249,"LOC100784249","GLYMA_13G095100","probable xyloglucan endotransglucosylase/hydrolase protein 23",74641,"MSTRG.25203","t20","up","probable xyloglucan endotransglucosylase/hydrolase protein 23",NA
"68",100784422,"LOC100784422","GLYMA_13G087800","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase 1",74483,"MSTRG.25145","t20","up","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase 1","GO:0004619,GO:0006096"
"69",100784422,"LOC100784422","GLYMA_13G087800","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase 1",74481,"MSTRG.25145","t20","up","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase 1","GO:0004619,GO:0006096"
"70",100784637,"LOC100784637","GLYMA_08G074200","J domain-containing protein",43067,"MSTRG.14668","t20","up","J domain-containing protein","GO:0009507,GO:0061077"
"71",100784766,"LOC100784766","GLYMA_20G030600","uncharacterized LOC100784766",113868,"MSTRG.38513","t20","up","uncharacterized LOC100784766","GO:0016021"
"72",100784859,"LOC100784859","","uncharacterized LOC100784859",5706,"MSTRG.1977","t20","up","uncharacterized LOC100784859",NA
"73",100784908,"LOC100784908","GLYMA_11G109800","uncharacterized LOC100784908",63918,"MSTRG.21827","t20","up","uncharacterized LOC100784908","GO:0046872"
"74",100784964,"LOC100784964","GLYMA_13G365000","uncharacterized LOC100784964",80538,"MSTRG.27365","t20","up","uncharacterized LOC100784964",NA
"75",100784972,"LOC100784972","GLYMA_14G099200","thermospermine synthase ACAULIS5",82897,"MSTRG.28235","t20","up","thermospermine synthase ACAULIS5","GO:0010487,GO:0006596"
"76",100785655,"LOC100785655","GLYMA_05G043900","BTB/POZ and TAZ domain-containing protein 1",24133,"MSTRG.8245","t20","up","BTB/POZ and TAZ domain-containing protein 1",NA
"77",100786800,"LOC100786800","GLYMA_09G026900","berberine bridge enzyme-like 13",49928,"MSTRG.17011","t20","up","berberine bridge enzyme-like 13","GO:0071949,GO:0016491"
"78",100787229,"LOC100787229","GLYMA_12G222500","CBS domain-containing protein CBSX5",72058,"MSTRG.24468","t20","up","CBS domain-containing protein CBSX5","GO:0005737,GO:0031588,GO:0005634,GO:0016208,GO:0019901,GO:0019887,GO:0042149,GO:0006468,GO:0050790"
"79",100787267,"LOC100787267","GLYMA_06G265700","dihydroflavonol-4-reductase-like",34496,"MSTRG.11691","t20","up","dihydroflavonol-4-reductase-like","GO:0003824"
"80",100787515,"LOC100787515","GLYMA_17G021100","uncharacterized protein At4g15545",96530,"MSTRG.32637","t20","up","uncharacterized protein At4g15545","GO:0005886"
"81",100787739,"LOC100787739","GLYMA_04G075800","uncharacterized LOC100787739",19009,"MSTRG.6573","t20","up","uncharacterized LOC100787739",NA
"82",100787772,"LOC100787772","GLYMA_13G219900","transcription factor TCP2",77450,"MSTRG.26220","t20","up","transcription factor TCP2","GO:0005634,GO:0003700,GO:0043565,GO:2000032"
"83",100788062,"LOC100788062","GLYMA_10G079900","NDR1/HIN1-like protein 10",56767,"MSTRG.19337","t20","up","NDR1/HIN1-like protein 10","GO:0046658,GO:0016021,GO:0009506,GO:0098542"
"84",100788877,"LOC100788877","GLYMA_07G249900","uncharacterized LOC100788877",40925,"MSTRG.13845","t20","up","uncharacterized LOC100788877","GO:0009507,GO:0003690,GO:0009658,GO:0032502,GO:0006353,GO:0006355"
"85",100788917,"LOC100788917","GLYMA_09G197100","glutamate receptor 3.6",53215,"MSTRG.18048","t20","up","glutamate receptor 3.6","GO:0016021,GO:0005886,GO:0015276,GO:0038023,GO:0004930"
"86",100789223,"LOC100789223","GLYMA_14G217900","filament-like plant protein 4",85506,"MSTRG.28953","t20","up","filament-like plant protein 4",NA
"87",100790504,"LOC100790504","GLYMA_01G023600","kinesin-like protein KIN-14B",714,"MSTRG.300","t20","up","kinesin-like protein KIN-14B","GO:0005524,GO:0008017,GO:0003777,GO:0009904,GO:0007018"
"88",100790989,"LOC100790989","GLYMA_15G258100","LOB domain-containing protein 4-like",91209,"MSTRG.30788","t20","up","LOB domain-containing protein 4-like",NA
"89",100791093,"LOC100791093","GLYMA_11G239900","uncharacterized LOC100791093",66957,"MSTRG.22840","t20","up","uncharacterized LOC100791093",NA
"90",100791253,"LOC100791253","GLYMA_18G260700","probable calcium-binding protein CML46",106884,"MSTRG.36123","t20","up","probable calcium-binding protein CML46","GO:0005509"
"91",100791492,"LOC100791492","GLYMA_13G338300","zinc transporter 1",79956,"MSTRG.27140","t20","up","zinc transporter 1","GO:0016021,GO:0016020,GO:0005385,GO:0071577"
"92",100792313,"LOC100792313","GLYMA_03G085500","GTP cyclohydrolase 1",13686,"MSTRG.4614","t20","up","GTP cyclohydrolase 1","GO:0005737,GO:0005525,GO:0003934,GO:0008270,GO:0035998,GO:0006729,GO:0046654"
"93",100792511,"LOC100792511","GLYMA_04G040300","transferase family protein",18233,"MSTRG.6293","t20","up","transferase family protein","GO:0016747"
"94",100792830,"LOC100792830","GLYMA_18G020600","uncharacterized LOC100792830",102170,"MSTRG.34636","t20","up","uncharacterized LOC100792830",NA
"95",100792839,"LOC100792839","GLYMA_10G018000","magnesium/proton exchanger",55470,"MSTRG.18892","t20","up","magnesium/proton exchanger","GO:0016021,GO:0016020,GO:0015491,GO:0030001"
"96",100792931,"LOC100792931","GLYMA_07G266500","scarecrow-like protein 13-like",41274,"MSTRG.13983","t20","up","scarecrow-like protein 13-like","GO:0005634,GO:0003700,GO:0043565,GO:0006355"
"97",100792940,"LOC100792940","GLYMA_15G017000","protein NRT1/ PTR FAMILY 1.2",86099,"MSTRG.29163","t20","up","protein NRT1/ PTR FAMILY 1.2","GO:0016021,GO:0005886,GO:0022857,GO:0006857"
"98",100793120,"LOC100793120","GLYMA_08G093200","type IV inositol polyphosphate 5-phosphatase 9",43444,"MSTRG.14806","t20","up","type IV inositol polyphosphate 5-phosphatase 9","GO:0016791,GO:0046856"
"99",100793208,"LOC100793208","GLYMA_04G2543001, GmSHMT04n","serine hydroxymethyltransferase 7",22930,"MSTRG.7766","t20","up","serine hydroxymethyltransferase 7",NA
"100",100793275,"LOC100793275","GLYMA_14G118200","F-box protein SKP2B-like",84190,"MSTRG.28526","t20","up","F-box protein SKP2B-like","GO:0019005,GO:0031146"
"101",100793416,"LOC100793416","GLYMA_05G177500","probable LRR receptor-like serine/threonine-protein kinase At5g10290",27154,"MSTRG.9171","t20","up","probable LRR receptor-like serine/threonine-protein kinase At5g10290","GO:0016021,GO:0005524,GO:0004672"
"102",100793498,"LOC100793498","GLYMA_02G264200","U-box domain-containing protein 1",10939,"MSTRG.3731","t20","up","U-box domain-containing protein 1",NA
"103",100794206,"LOC100794206","GLYMA_17G234000","protein SOB FIVE-LIKE 5",101186,"MSTRG.34247","t20","up","protein SOB FIVE-LIKE 5","GO:0009691,GO:0009736"
"104",100794566,"LOC100794566","GLYMA_02G275900","protein kinase superfamily protein",11156,"MSTRG.3822","t20","up","protein kinase superfamily protein","GO:0005524,GO:0106310,GO:0004674,GO:0004712,GO:0007165"
"105",100794600,"LOC100794600","GLYMA_19G011700","alpha-dioxygenase 1",107997,"MSTRG.36524","t20","up","alpha-dioxygenase 1","GO:0020037,GO:0016702,GO:0004601,GO:0006979"
"106",100794625,"LOC100794625","GLYMA_20G125000","uncharacterized LOC100794625",115943,"MSTRG.39108","t20","up","uncharacterized LOC100794625","GO:0016021"
"107",100795131,"LOC100795131","GLYMA_04G078100","uncharacterized LOC100795131",19057,"MSTRG.6593","t20","up","uncharacterized LOC100795131","GO:0016021"
"108",100795759,"LOC100795759","GLYMA_08G214600","topless-related protein 1",46034,"MSTRG.15770","t20","up","topless-related protein 1","GO:0009791,GO:0006355,GO:0048608,GO:0048367"
"109",100795896,"LOC100795896","GLYMA_13G204400","transcription factor bHLH130",77107,"MSTRG.26093","t20","up","transcription factor bHLH130","GO:0005634,GO:0000981,GO:0046983,GO:0000978,GO:0006357"
"110",100796491,"LOC100796491","GLYMA_02G245700","probable calcium-binding protein CML18",10587,"MSTRG.3596","t20","up","probable calcium-binding protein CML18","GO:0005509"
"111",100796620,"LOC100796620","GLYMA_07G127800","uncharacterized LOC100796620",38376,"MSTRG.13040","t20","up","uncharacterized LOC100796620","GO:0008104,GO:0015031"
"112",100796730,"LOC100796730","GLYMA_12G157700","polynucleotide 3'-phosphatase ZDP",70638,"MSTRG.23998","t20","up","polynucleotide 3'-phosphatase ZDP","GO:0005634,GO:0003690,GO:0046404,GO:0046403,GO:0008270,GO:0006281,GO:0046939"
"113",100796843,"LOC100796843","GLYMA_17G093900","two-component response regulator ARR5",98090,"MSTRG.33250","t20","up","two-component response regulator ARR5","GO:0016301,GO:0000160"
"114",100797211,"LOC100797211","GLYMA_10G204100","lysine histidine transporter-like 6",59580,"MSTRG.20152","t20","up","lysine histidine transporter-like 6","GO:0016021,GO:0005886,GO:0015293,GO:0006865,GO:0009734"
"115",100797418,"LOC100797418","GLYMA_03G202300","BEL1-like homeodomain protein 1",16037,"MSTRG.5426","t20","up","BEL1-like homeodomain protein 1","GO:0005634,GO:0000981,GO:0000978,GO:0006357"
"116",100797572,"LOC100797572","GLYMA_02G055500","U-box domain-containing protein 5",6525,"MSTRG.2278","t20","up","U-box domain-containing protein 5",NA
"117",100798018,"LOC100798018","GLYMA_13G253500","transcription factor bHLH25",78147,"MSTRG.26481","t20","up","transcription factor bHLH25","GO:0005634,GO:0046983"
"118",100798036,"LOC100798036","GLYMA_07G134500","uncharacterized LOC100798036",38515,"MSTRG.13096","t20","up","uncharacterized LOC100798036","GO:0009535,GO:0016021"
"119",100798318,"LOC100798318","GLYMA_11G171400","asparagine synthetase [glutamine-hydrolyzing] 2",65813,"MSTRG.22481","t20","up","asparagine synthetase [glutamine-hydrolyzing] 2",NA
"120",100798343,"LOC100798343","GLYMA_20G092900","putative nuclear envelope-associated protein",115226,"MSTRG.38838","t20","up","putative nuclear envelope-associated protein",NA
"121",100799244,"LOC100799244","GLYMA_13G354100","auxin-responsive protein IAA26",80328,"MSTRG.27282","t20","up","auxin-responsive protein IAA26","GO:0005634,GO:0009734,GO:0006355"
"122",100799248,"LOC100799248","GLYMA_06G289300","transcription activator GLK1-like",34843,"MSTRG.11806","t20","up","transcription activator GLK1-like","GO:0005634,GO:0003677,GO:0003700,GO:0045893"
"123",100799411,"LOC100799411","GLYMA_13G110700","serine/threonine-protein kinase RIPK",75062,"MSTRG.25331","t20","up","serine/threonine-protein kinase RIPK","GO:0005524,GO:0004672"
"124",100799752,"LOC100799752","GLYMA_05G094400","mitogen-activated protein kinase kinase kinase 20",25417,"MSTRG.8560","t20","up","mitogen-activated protein kinase kinase kinase 20","GO:0005524,GO:0004674"
"125",100799838,"LOC100799838","GLYMA_17G011600","S-type anion channel SLAH4",96360,"MSTRG.32547","t20","up","S-type anion channel SLAH4","GO:0016021,GO:0005886,GO:0008308,GO:0006873"
"126",100799947,"LOC100799947","GLYMA_06G310700","WAT1-related protein At5g07050",35229,"MSTRG.11954","t20","up","WAT1-related protein At5g07050","GO:0016021,GO:0005886,GO:0022857"
"127",100799978,"LOC100799978","GLYMA_15G108700","5'-adenylylsulfate reductase 3, chloroplastic",88061,"MSTRG.29884","t20","up","5'-adenylylsulfate reductase 3, chloroplastic",NA
"128",100800017,"LOC100800017","GLYMA_17G064900","probable xyloglucan endotransglucosylase/hydrolase protein 23-like",97485,"MSTRG.33021","t20","up","probable xyloglucan endotransglucosylase/hydrolase protein 23-like","GO:0048046,GO:0004553,GO:0016762,GO:0042546,GO:0071555,GO:0010411"
"129",100800156,"LOC100800156","GLYMA_08G297100","uncharacterized LOC100800156",47852,"MSTRG.16292","t20","up","uncharacterized LOC100800156","GO:0005737,GO:0003729,GO:0003727,GO:0045182,GO:0008270,GO:2000767"
"130",100800632,"LOC100800632","GLYMA_05G082200","probable disease resistance protein At5g66900",25219,"MSTRG.8531","t20","up","probable disease resistance protein At5g66900","GO:0043531,GO:0050832"
"131",100800707,"LOC100800707","GLYMA_01G015000","inactive poly [ADP-ribose] polymerase RCD1",525,"MSTRG.229","t20","up","inactive poly [ADP-ribose] polymerase RCD1","GO:0003950"
"132",100800861,"LOC100800861","GLYMA_07G072700","DEAD-box ATP-dependent RNA helicase 8",37202,"MSTRG.12648","t20","up","DEAD-box ATP-dependent RNA helicase 8","GO:0010494,GO:0000932,GO:0005524,GO:0016787,GO:0003729,GO:0003724,GO:0033962,GO:0034063"
"133",100801250,"LOC100801250","GLYMA_01G204600","glutamate dehydrogenase 2",4463,"MSTRG.1486","t20","up","glutamate dehydrogenase 2","GO:0005739,GO:0004352,GO:0000166,GO:0006538"
"134",100801386,"LOC100801386","GLYMA_13G355000","ABC transporter G family member 36",80350,"MSTRG.27289","t20","up","ABC transporter G family member 36","GO:0016021,GO:0005886,GO:0140359,GO:0005524"
"135",100801386,"LOC100801386","GLYMA_13G355000","ABC transporter G family member 36",80349,"MSTRG.27289","t20","up","ABC transporter G family member 36","GO:0016021,GO:0005886,GO:0140359,GO:0005524"
"136",100801838,"TGA05","GLYMA_03G128200, GmTGA05","bZIP transcription factor 5",14483,"MSTRG.4857","t20","up","bZIP transcription factor 5","GO:0043565,GO:0006351"
"137",100802677,"LOC100802677","GLYMA_16G022400","calcium-binding protein KIC",92033,"MSTRG.31113","t20","up","calcium-binding protein KIC","GO:0005509"
"138",100802764,"LOC100802764","GLYMA_11G049300","LOB domain-containing protein 38",62699,"MSTRG.21326","t20","up","LOB domain-containing protein 38","GO:0010468"
"139",100803062,"LOC100803062","GLYMA_18G153800","uncharacterized protein At5g65660",104811,"MSTRG.35473","t20","up","uncharacterized protein At5g65660","GO:0016021"
"140",100803643,"LOC100803643","GLYMA_04G055700","F-box/LRR-repeat protein 15",18540,"MSTRG.6407","t20","up","F-box/LRR-repeat protein 15","GO:0010252,GO:1905393"
"141",100804903,"LOC100804903","GLYMA_05G035000","nucleobase-ascorbate transporter 6",23950,"MSTRG.8179","t20","up","nucleobase-ascorbate transporter 6","GO:0016021,GO:0022857"
"142",100805180,"LOC100805180","GLYMA_10G284400","serine/threonine-protein kinase STY46",61275,"MSTRG.20791","t20","up","serine/threonine-protein kinase STY46","GO:0005524,GO:0004672,GO:0004674"
"143",100805188,"LOC100805188","GLYMA_18G172600","protein SULFUR DEFICIENCY-INDUCED 1",105195,"MSTRG.35559","t20","up","protein SULFUR DEFICIENCY-INDUCED 1",NA
"144",100805895,"LOC100805895","GLYMA_09G274000, WRKY","probable WRKY transcription factor 70-like",54752,"MSTRG.18642","t20","up","probable WRKY transcription factor 70-like","GO:0005634,GO:0003700,GO:0043565"
"145",100805946,"LOC100805946","GLYMA_11G194900","cell division cycle protein 48 homolog",65236,"MSTRG.22316","t20","up","cell division cycle protein 48 homolog","GO:0005829,GO:0005634,GO:0034098,GO:0005524,GO:0016887,GO:0031593,GO:0097352,GO:0071712,GO:0051228,GO:0030970,GO:0030433"
"146",100806032,"LOC100806032","GLYMA_15G092500","transcription factor TCP2",87743,"MSTRG.29755","t20","up","transcription factor TCP2","GO:0005634,GO:0003700,GO:0043565,GO:2000032"
"147",100806690,"LOC100806690","GLYMA_06G072500","coiled-coil domain-containing protein 93",30266,"MSTRG.10324","t20","up","coiled-coil domain-containing protein 93",NA
"148",100807214,"LOC100807214","GLYMA_05G070400","type I inositol polyphosphate 5-phosphatase 2",24741,"MSTRG.8434","t20","up","type I inositol polyphosphate 5-phosphatase 2","GO:0034485,GO:0004439,GO:0046856"
